bus_id,Pd,lat,lon,County,BA,zone_name
32119,34.02,36.625239034495294,-82.15191264068649,Bristol City__VA,PJM,Tennessee
45795,1.21,38.0065455821703,-90.1775344912558,Ste. Genevieve__MO,AECI,Illinois Downstate
45958,2.09,37.8856774880474,-90.0012969253703,Ste. Genevieve__MO,AECI,Illinois Downstate
45959,3.91,37.8271137609156,-89.94190881079771,Perry__MO,AECI,Illinois Downstate
49501,2.98,48.6085662519074,-97.1982125566432,Pembina__ND,WAUE,Minnesota Northern
52241,11.15,40.57123238563821,-92.9904094461454,Putnam__MO,KCPL_INDN,Iowa
52251,1.99,40.5766948500812,-92.79486727666729,Putnam__MO,KCPL_INDN,Iowa
54000,3.97,41.287776634331706,-95.98516147560659,Douglas__NE,OPPD,Iowa
54002,27.88,41.291341967369796,-95.90140301935848,Douglas__NE,OPPD,Iowa
54011,27.88,41.2519872145983,-95.96003086782659,Douglas__NE,OPPD,Iowa
54257,1.21,40.5724220670919,-93.33847726626492,Putnam__MO,KCPL_INDN,Iowa
54301,14.69,42.4665143703724,-96.39928048294382,Dakota__NE,NPPD,Iowa
55452,14.27,37.3785129773258,-89.96111990040987,Bollinger__MO,AECI,Missouri East
55453,9.13,37.33368015657621,-90.03721631098328,Bollinger__MO,AECI,Missouri East
55454,4.62,37.34721827020189,-90.1971436035071,Madison__MO,AECI,Missouri East
55455,5.47,37.49977535460489,-90.1473049562764,Madison__MO,AECI,Missouri East
55456,6.16,37.60556477172721,-89.8252432538402,Perry__MO,AECI,Missouri East
55459,4.13,37.45947507995871,-89.94245499743582,Bollinger__MO,AECI,Missouri East
55462,3.03,37.177334588885714,-90.0982504864604,Bollinger__MO,AECI,Missouri East
55512,7.46,39.190157473541,-92.49890401696341,Howard__MO,KCPL_INDN,Missouri East
55517,8.26,36.8808438637089,-90.8056355254743,Carter__MO,AECI,Missouri East
55518,3.59,36.995434767511895,-90.7882675117884,Carter__MO,AECI,Missouri East
55519,7.19,36.81277618097929,-90.26492638675751,Butler__MO,CSWS,Missouri East
55526,6.96,36.62986307467591,-90.62286871181959,Ripley__MO,CSWS,Missouri East
55527,4.84,36.6238749150546,-90.7205921076836,Ripley__MO,CSWS,Missouri East
55532,27.99,36.70919654495872,-90.44076735811107,Butler__MO,CSWS,Missouri East
55533,27.99,36.79918166734009,-90.50852644375755,Butler__MO,CSWS,Missouri East
55534,27.99,36.724954008135,-90.4788838688901,Butler__MO,CSWS,Missouri East
55539,29.24,36.7116807684782,-90.506252566266,Butler__MO,CSWS,Missouri East
55541,7.48,36.57500811954,-90.32809720224232,Butler__MO,CSWS,Missouri East
55542,3.08,36.9534270387975,-90.26243011932728,Wayne__MO,AECI,Missouri East
55544,4.15,36.924099867760795,-90.43867009490192,Butler__MO,CSWS,Missouri East
55586,24.94,37.76765134438681,-92.6682365589304,Laclede__MO,AECI,Missouri East
55588,23.32,37.6781588787323,-92.64019420453009,Laclede__MO,AECI,Missouri East
55590,24.68,37.640245278448894,-92.6285198742588,Laclede__MO,AECI,Missouri East
55592,23.32,37.62691944528999,-92.65935816725133,Laclede__MO,AECI,Missouri East
55600,12.64,37.8074929408479,-92.3612666433046,Pulaski__MO,AECI,Missouri East
55602,6.32,37.88808711534249,-92.36850207953718,Pulaski__MO,AECI,Missouri East
55640,13.49,37.75175439552849,-89.81813772503571,Perry__MO,AECI,Missouri East
55642,13.49,37.7003990525099,-89.85621340697651,Perry__MO,AECI,Missouri East
55644,13.49,37.726159212024704,-89.85955293073113,Perry__MO,AECI,Missouri East
55646,13.64,37.710315781229795,-89.81381464220225,Perry__MO,AECI,Missouri East
55652,10.94,36.5760457984593,-90.85150607215849,Ripley__MO,CSWS,Missouri East
55656,10.94,36.62754933029261,-90.91578197346071,Ripley__MO,CSWS,Missouri East
55657,13.46,36.7426299825851,-90.8939526628368,Ripley__MO,CSWS,Missouri East
55659,2.9,36.8997172628049,-90.93837700387728,Carter__MO,AECI,Missouri East
55660,3.7,36.8897982660472,-91.0870989440189,Carter__MO,AECI,Missouri East
55661,2.9,36.969118655549,-91.05828676337593,Carter__MO,AECI,Missouri East
55689,11.18,38.068421959015105,-91.1790775450284,Crawford__MO,AECI,Missouri East
55690,9.2,38.08774211868109,-91.3896327887764,Crawford__MO,AECI,Missouri East
55693,9.2,38.08873466961089,-91.48586596191713,Crawford__MO,AECI,Missouri East
55696,9.2,38.08723574419129,-91.42846660408169,Crawford__MO,AECI,Missouri East
55697,5.4,38.040311519334296,-91.29398713751348,Crawford__MO,AECI,Missouri East
55698,7.22,38.182338538147796,-91.47060261345119,Crawford__MO,AECI,Missouri East
55703,11.0,38.024895726020006,-91.67062318293988,Phelps__MO,AECI,Missouri East
55704,10.48,38.052739438171905,-91.4853390396929,Crawford__MO,AECI,Missouri East
55705,10.1,37.9882064303379,-91.65084975740272,Phelps__MO,AECI,Missouri East
55706,15.53,37.6211030658389,-91.444001621542,Dent__MO,AECI,Missouri East
55708,0.57,37.5763447702631,-91.42982972574801,Dent__MO,AECI,Missouri East
55709,15.5,37.5763447702631,-91.42982972574801,Dent__MO,AECI,Missouri East
55713,16.75,37.5632355658011,-91.5444974041016,Dent__MO,AECI,Missouri East
55717,8.49,37.818876049478185,-91.21915203082762,Crawford__MO,AECI,Missouri East
55718,7.13,37.8873415819949,-91.3001369125492,Crawford__MO,AECI,Missouri East
55720,6.86,37.78829033943849,-91.16934225417008,Crawford__MO,AECI,Missouri East
55723,20.71,38.198595983929295,-91.11716200641341,Crawford__MO,AECI,Missouri East
55730,4.34,37.372955083642815,-91.192735933265,Shannon__MO,AECI,Missouri East
55732,7.3,37.46261386326999,-91.8741331181974,Texas__MO,AECI,Missouri East
55735,9.36,37.51515993816511,-91.87947614539247,Texas__MO,AECI,Missouri East
55736,7.3,37.437467438541695,-91.85083471443501,Texas__MO,AECI,Missouri East
55737,27.86,37.79926694583469,-91.77601517455679,Phelps__MO,AECI,Missouri East
55739,26.15,37.812940255336706,-91.8231198881847,Phelps__MO,AECI,Missouri East
55748,26.15,37.87944783790381,-91.7672964169152,Phelps__MO,AECI,Missouri East
55752,26.15,37.942077181221,-91.78542111248922,Phelps__MO,AECI,Missouri East
55753,0.89,37.942077181221,-91.78542111248922,Phelps__MO,AECI,Missouri East
55757,10.12,36.995661220155604,-92.58662785695549,Douglas__MO,AECI,Missouri East
55761,11.34,36.808128109648315,-92.7027080870402,Douglas__MO,AECI,Missouri East
55762,10.12,36.852988096939896,-92.7507193282055,Douglas__MO,AECI,Missouri East
55764,10.46,37.1450475393031,-92.06339087174447,Texas__MO,AECI,Missouri East
55768,5.47,37.21115870189959,-92.0884105268304,Texas__MO,AECI,Missouri East
55769,5.72,36.652415954826395,-92.09021914562729,Howell__MO,CSWS,Missouri East
55771,3.47,36.798037638230994,-92.174453614314,Douglas__MO,AECI,Missouri East
55773,4.36,37.08009466574249,-92.5989596046212,Wright__MO,AECI,Missouri East
55778,9.73,37.1219741720537,-92.55111605051658,Wright__MO,AECI,Missouri East
55780,10.69,37.087830939063494,-92.19035771892807,Texas__MO,AECI,Missouri East
55781,10.69,37.1469358023295,-92.31575982269422,Wright__MO,AECI,Missouri East
55783,11.27,37.18849063757241,-92.23563449335987,Texas__MO,AECI,Missouri East
55784,7.59,37.00466726207821,-92.3597766885119,Douglas__MO,AECI,Missouri East
55786,2.76,37.1347252597132,-92.42091006482548,Wright__MO,AECI,Missouri East
55787,21.02,36.725853737988,-91.79337231020484,Howell__MO,CSWS,Missouri East
55790,20.11,36.694059182894094,-91.90598214516079,Howell__MO,CSWS,Missouri East
55791,20.11,36.698501733206506,-91.8343360426642,Howell__MO,CSWS,Missouri East
55793,20.11,36.619312101174394,-91.8175821972912,Howell__MO,CSWS,Missouri East
55794,6.82,37.00715410390139,-92.0226281825725,Howell__MO,CSWS,Missouri East
55797,7.06,37.1093628258064,-92.0177405623608,Texas__MO,AECI,Missouri East
55799,6.82,37.031589670615,-91.95883457768942,Howell__MO,CSWS,Missouri East
55879,6.81,39.1819796633221,-92.6690534660248,Howard__MO,KCPL_INDN,Missouri East
55880,8.66,39.0352396768933,-92.73590177751284,Howard__MO,KCPL_INDN,Missouri East
55881,4.97,39.1498151271511,-92.74919257970501,Howard__MO,KCPL_INDN,Missouri East
55885,7.65,36.556582945886994,-92.1632772502683,Ozark__MO,AECI,Missouri East
55887,4.3,36.6082337732672,-91.62080323887041,Oregon__MO,AECI,Missouri East
55888,8.53,36.902169326675,-91.73790476963448,Howell__MO,CSWS,Missouri East
55889,6.36,37.0703068346806,-91.67771694698168,Texas__MO,AECI,Missouri East
55890,6.36,37.07211232247821,-91.7284463102939,Texas__MO,AECI,Missouri East
55893,4.34,36.83988299364381,-91.91357078251148,Howell__MO,CSWS,Missouri East
55926,9.76,38.039264216071686,-90.3509710039056,Ste. Genevieve__MO,AECI,Missouri East
55999,3.45,37.568882367708405,-92.397281229696,Laclede__MO,AECI,Missouri East
56000,10.09,37.479668248835104,-92.17295498069107,Texas__MO,AECI,Missouri East
56060,12.3,37.63557112643411,-90.3899414623222,Madison__MO,AECI,Missouri East
56061,12.3,37.52089312489301,-90.32012289201582,Madison__MO,AECI,Missouri East
56062,12.3,37.55501911329889,-90.4242398581165,Madison__MO,AECI,Missouri East
56069,9.47,38.0037312754897,-92.01314597490236,Phelps__MO,AECI,Missouri East
56070,8.86,37.9411167317075,-92.088155017351,Pulaski__MO,AECI,Missouri East
56082,3.57,38.007708974364704,-92.301940055817,Pulaski__MO,AECI,Missouri East
56083,3.57,38.007708974364704,-92.301940055817,Pulaski__MO,AECI,Missouri East
56109,14.41,39.36569094610049,-92.4181749818731,Randolph__MO,KCPL_INDN,Missouri East
56111,0.13,39.3003529975205,-92.38619926512804,Randolph__MO,KCPL_INDN,Missouri East
56112,14.28,39.3003529975205,-92.38619926512804,Randolph__MO,KCPL_INDN,Missouri East
56114,14.28,39.3525379131755,-92.3713395939703,Randolph__MO,KCPL_INDN,Missouri East
56117,16.44,39.4423634161566,-92.3642267328669,Randolph__MO,KCPL_INDN,Missouri East
56148,12.31,36.66087071736259,-91.3412507289324,Oregon__MO,AECI,Missouri East
56149,3.21,36.9315167472139,-91.45519335568859,Shannon__MO,AECI,Missouri East
56152,6.87,36.89913571842049,-91.5498333261196,Shannon__MO,AECI,Missouri East
56153,2.99,36.543118226635706,-91.12807462967449,Oregon__MO,AECI,Missouri East
56156,4.94,36.618573176784295,-91.4994579917387,Oregon__MO,AECI,Missouri East
56157,4.94,36.7079721873052,-91.4387993511122,Oregon__MO,AECI,Missouri East
56158,6.06,36.5723745310647,-91.4443920046983,Oregon__MO,AECI,Missouri East
56159,2.89,37.01778106042511,-91.1773406846658,Carter__MO,AECI,Missouri East
56160,6.17,36.89112484695549,-91.2599186903546,Shannon__MO,AECI,Missouri East
56164,3.54,36.58313646652201,-92.43022576971659,Ozark__MO,AECI,Missouri East
56165,3.94,36.5213193132612,-92.46077771410542,Ozark__MO,AECI,Missouri East
56168,5.56,36.65748748726521,-92.34499136794943,Ozark__MO,AECI,Missouri East
56169,2.54,36.65460365167391,-92.6145941141246,Ozark__MO,AECI,Missouri East
56170,3.61,36.7350457614432,-92.41881726858387,Ozark__MO,AECI,Missouri East
56179,6.19,37.6299794480068,-89.64434592319841,Perry__MO,AECI,Missouri East
56184,5.53,37.742539698864,-91.91238378157502,Phelps__MO,AECI,Missouri East
56186,3.73,37.864286116750996,-91.90417204025768,Phelps__MO,AECI,Missouri East
56200,15.87,37.730090346561276,-92.09810647652658,Pulaski__MO,AECI,Missouri East
56202,12.16,37.76020057686889,-92.1926884282698,Pulaski__MO,AECI,Missouri East
56206,27.64,37.6896009347754,-92.2199932312588,Pulaski__MO,AECI,Missouri East
56208,10.61,37.87484255779779,-92.14463209979179,Pulaski__MO,AECI,Missouri East
56209,11.59,37.8350823345896,-92.0969714700832,Pulaski__MO,AECI,Missouri East
56212,10.61,37.85160375650901,-92.1674152239588,Pulaski__MO,AECI,Missouri East
56214,16.82,37.843747054798,-92.2830787453068,Pulaski__MO,AECI,Missouri East
56219,13.25,37.811387234123394,-92.23192358133629,Pulaski__MO,AECI,Missouri East
56220,13.25,37.843963460780095,-92.25392108409208,Pulaski__MO,AECI,Missouri East
56221,5.43,39.5506426399642,-92.51081994342468,Randolph__MO,KCPL_INDN,Missouri East
56222,9.52,39.39513421139231,-92.56695957490562,Randolph__MO,KCPL_INDN,Missouri East
56223,3.96,39.493258720725606,-92.58095745177879,Randolph__MO,KCPL_INDN,Missouri East
56228,3.14,37.1138098398239,-91.0918804335684,Shannon__MO,AECI,Missouri East
56230,10.42,37.2520270583907,-90.62549477252944,Wayne__MO,AECI,Missouri East
56232,8.35,37.0648184744659,-90.54478648239241,Wayne__MO,AECI,Missouri East
56234,0.44,37.10484983247551,-90.59792495529908,Wayne__MO,AECI,Missouri East
56235,5.86,37.10484983247551,-90.59792495529908,Wayne__MO,AECI,Missouri East
56246,5.28,37.216598928407905,-91.2972028483355,Shannon__MO,AECI,Missouri East
56248,7.37,37.130031636655204,-91.66460416522051,Texas__MO,AECI,Missouri East
56654,24.32,37.87881770044019,-90.2138526691872,Ste. Genevieve__MO,AECI,Missouri East
56658,12.16,38.011578706909596,-90.1466136241486,Ste. Genevieve__MO,AECI,Missouri East
56671,8.56,37.33630006814872,-91.84771341164608,Texas__MO,AECI,Missouri East
56672,8.19,37.2469689714345,-91.8343323107448,Texas__MO,AECI,Missouri East
