"2016 Form EIA-860 Data - Schedule 3, 'Wind Technology Data' (Operable Units Only)",,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet)
13642,Nome Joint Utility Systems,90,Snake River,AK,Nome,ENT,OA,Onshore Wind Turbine,WT,Electric Utility,1,0.8,0.8,0.8,1,2015,15,Entegrity Wind Systems,EW50,20,2,102
13642,Nome Joint Utility Systems,90,Snake River,AK,Nome,EWT 1,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2013,1,EWT,DW54-900,20,2,164
13642,Nome Joint Utility Systems,90,Snake River,AK,Nome,EWT 2,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2013,1,EWT,DW54-900,20,2,164
10633,City of Lamar - (CO),508,Lamar Plant,CO,Prowers,T1-T3,OP,Onshore Wind Turbine,WT,Electric Utility,1,4.5,4,4,2,2004,3,GE,1.5 XLE,19,2,262.4
10633,City of Lamar - (CO),508,Lamar Plant,CO,Prowers,T4,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.5,1.5,1.5,2,2004,1,GE,1.5 XLE,19,2,262.4
56990,NJR Clean Energy Ventures Corporation,692,Medicine Bow,WY,Carbon,10,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,7,2000,9,Vestas,V47-660,18.8,2,164
56990,NJR Clean Energy Ventures Corporation,692,Medicine Bow,WY,Carbon,11,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,7,2000,1,Vestas,V47-660,18.8,2,164
56990,NJR Clean Energy Ventures Corporation,692,Medicine Bow,WY,Carbon,1A,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.6,0.6,4,1998,1,Vestas,V47-660,18.8,2,164
56990,NJR Clean Energy Ventures Corporation,692,Medicine Bow,WY,Carbon,2A,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.6,0.6,4,1998,1,Vestas,V47-660,18.8,2,164
56990,NJR Clean Energy Ventures Corporation,692,Medicine Bow,WY,Carbon,5,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,10,1999,1,Vestas,V47-660,18.8,2,164
56990,NJR Clean Energy Ventures Corporation,692,Medicine Bow,WY,Carbon,6,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,10,1999,1,Vestas,V47-660,18.8,2,164
56990,NJR Clean Energy Ventures Corporation,692,Medicine Bow,WY,Carbon,7,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,10,1999,1,Vestas,V47-660,18.8,2,164
56990,NJR Clean Energy Ventures Corporation,692,Medicine Bow,WY,Carbon,8,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,10,1999,1,Vestas,V47-660,18.8,2,164
56990,NJR Clean Energy Ventures Corporation,692,Medicine Bow,WY,Carbon,9,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,10,1999,1,Vestas,V47-660,18.8,2,164
7095,City of Geneseo - (IL),944,Geneseo,IL,Henry,10,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.5,1.5,1.5,9,2009,1,VENSYS,VENSYS77,18,2,200
7095,City of Geneseo - (IL),944,Geneseo,IL,Henry,11,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.5,1.5,1.5,10,2009,1,VENSYS,VENSYS77,18,2,200
14201,City of Osage - (IA),1172,Osage (IA),IA,Mitchell,W1,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.6,0.5,0.5,12,2009,1,GE,1.5 SLE,17.8,2,260
13048,City of Mountain Lake - (MN),1998,Mountain Lake,MN,Cottonwood,8,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.2,1.2,1.2,7,2007,1,Suzlon,S64-1250,15,2,246
20737,Willmar Municipal Utilities,2022,Willmar,MN,Kandiyohi,WTG3,OP,Onshore Wind Turbine,WT,Electric Utility,1,2,2,2,8,2009,1,DeWind,D8.2,14.7,2,262.4
20737,Willmar Municipal Utilities,2022,Willmar,MN,Kandiyohi,WTG4,OP,Onshore Wind Turbine,WT,Electric Utility,1,2,2,2,8,2009,1,DeWind,D8.2,14.7,2,262.4
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,10,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2002,1,NEG-Micon,NM52/900,19,2,240
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,11,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2002,1,NEG-Micon,NM52/900,19,2,240
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,12,OP,Onshore Wind Turbine,WT,Electric Utility,1,1,1,1,12,2003,1,NEG-Micon,NM54/950,19,2,240
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,13,OP,Onshore Wind Turbine,WT,Electric Utility,1,1,1,1,12,2003,1,NEG-Micon,NM54/950,19,2,240
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,8,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2002,1,NEG-Micon,NM52/900,19,2,240
21013,City of Worthington - (MN),2024,Worthington,MN,Nobles,9,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,7,2002,1,NEG-Micon,NM52/900,19,2,240
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,10wt,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,7,1999,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,11wt,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2005,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,12wt,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2005,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,13WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2006,1,Vestas,V15,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,14wt,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2002,1,Northern Power,Northwind 100,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,15WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2006,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,16WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2006,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,17WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,2006,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,18WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,5,2012,1,EWT,DW54-900,13,2,250
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,19WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.9,0.9,0.9,5,2012,1,EWT,DW54-900,13,2,250
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,1WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.6,0.6,5,1999,10,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,2WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,5,1999,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,3WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.2,0.2,0.2,1,1997,3,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,4WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.5,0.5,0.5,1,1999,7,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,5WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,1,2002,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,6WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,1,2005,2,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,7WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,2,2006,4,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,8WT,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,7,1999,1,AOC,AOC15/50,13,2,90
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,9wt,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.1,0.1,0.1,7,1999,1,AOC,AOC15/50,13,2,90
20860,Wisconsin Public Service Corp,7366,Lincoln Turbines,WI,Kewaunee,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,9.2,0.9,2.2,6,1999,14,Vestas,V47-660,15.4,1,213
7601,Green Mountain Power Corp,7381,Searsburg Wind Turbine,VT,Bennington,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,6,5.2,5,6,1997,11,Zond,Z-40,18,1,132
15371,Town of Princeton - (MA),7501,Princeton Wind Farm,MA,Worcester,2,OP,Onshore Wind Turbine,WT,Electric Utility,1,3,3,3,1,2010,2,Fuhrlander,FL 1500-77,16,2,230
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,Solano,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,13.2,13.1,13.2,6,1994,23,Vestas,V47-660,16.8,2,180
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,Solano,2,OP,Onshore Wind Turbine,WT,Electric Utility,1,24,24,24,6,2006,8,Vestas,V90-3.0,16.8,2,262.4
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,Solano,2B,OP,Onshore Wind Turbine,WT,Electric Utility,1,63,63,63,12,2007,21,Vestas,V90-3.0,16.8,2,262.4
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,Solano,3,OP,Onshore Wind Turbine,WT,Electric Utility,1,128,128,128,4,2012,55,Vestas,V90-1.8,16.8,2,262.4
58190,Bluestem LLC,7771,Springview,NE,Keya Paha,3,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.5,1.5,1.5,6,2011,1,VENSYS,VENSYS77,16,2,201.7
58190,Bluestem LLC,7771,Springview,NE,Keya Paha,4,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.5,1.5,1.5,6,2011,1,VENSYS,VENSYS77,16,2,201.7
12894,City of Moorhead - (MN),7855,Moorhead Wind Turbine,MN,Clay,8,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,5,1999,1,NEG-Micon,NM48/750,19,2,180
12894,City of Moorhead - (MN),7855,Moorhead Wind Turbine,MN,Clay,9,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.7,0.7,9,2001,1,NEG-Micon,NM48/750,19,2,180
11479,Madison Gas & Electric Co,7886,Wind Turbine,WI,Kewaunee,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,11,0.9,0.9,6,1999,17,Vestas,V47-660,18,3,213
20847,Wisconsin Electric Power Co,7901,Byron,WI,Fond Du Lac,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.1,0.1,6,1999,1,Vestas,V47-660,19,1,213.2
20847,Wisconsin Electric Power Co,7901,Byron,WI,Fond Du Lac,2,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.7,0.1,0.1,6,1999,1,Vestas,V47-660,19,1,213.2
18642,Tennessee Valley Authority,7927,Buffalo Mountain,TN,Anderson,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.7,0.7,10,2000,1,Vestas,V47-660,15.2,4,213
18642,Tennessee Valley Authority,7927,Buffalo Mountain,TN,Anderson,2,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.7,0.7,10,2000,1,Vestas,V47-660,15.2,4,213
18642,Tennessee Valley Authority,7927,Buffalo Mountain,TN,Anderson,3,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.7,0.7,10,2000,1,Vestas,V47-660,15.2,4,213
20160,Energy Northwest,7936,Nine Canyon,WA,Benton,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,95.9,95,95,9,2002,63,Siemens,SWT-1.3-62,14,4,200
11018,Lincoln Electric System,7965,Salt Valley Wind Plant,NE,Lancaster,G1,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.7,0.7,12,1998,1,Vestas,V47-660,17,3,213
11018,Lincoln Electric System,7965,Salt Valley Wind Plant,NE,Lancaster,G2,OP,Onshore Wind Turbine,WT,Electric Utility,1,0.6,0.7,0.7,10,1999,1,Vestas,V47-660,17,3,213
309,City of Algona - (IA),7966,Iowa Distributed Wind Generation Project,IA,Kossuth,IDWG,OP,Onshore Wind Turbine,WT,Electric Utility,1,2.3,2.3,2.3,6,2000,3,Zond,Z-50,15.7,2,165
1307,Basin Electric Power Coop,7974,Chamberlain Wind Project,SD,Brule,WTC1,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.3,1.3,1.3,11,2001,1,Nordex,N60/1300,18.8,1,196.9
1307,Basin Electric Power Coop,7974,Chamberlain Wind Project,SD,Brule,WTC2,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.3,1.3,1.3,11,2001,1,Nordex,N60/1300,18.8,1,196.9
