Area Name,State,UA,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
"Fairbanks, AK",AK,Fairbanks,31987803.69073135,5936089.148310427,21534690.31204901,26038490.692969833,43207254.62172445,48190019.64985088,40410675.88675616,26543607.106770292
"Anchorage, AK",AK,Anchorage,88570529.575888,16436344.444238264,59627067.35453638,72097569.82163224,119635891.8657248,133432592.05684324,111892488.72521536,73496178.76335034
"Huntsville, AL",AL,Huntsville,83342102.87775944,73386211.66096295,140234578.53321943,169563568.3745159,281367267.7704191,313815020.93079853,263155673.9626548,172852857.9219158
"Anniston-Oxford, AL",AL,Anniston-Oxford,28610220.770020157,25192497.484436195,48140640.95923852,58208887.923823975,96589591.21989319,107728467.60235254,90337796.4916237,59338056.69780681
"Florence, AL",AL,Florence,21336645.62950531,18787809.981210448,35901847.97178681,43410444.963069335,72033623.78514728,80340664.12551561,67371222.54966734,44252545.21039148
"Daphne-Fairhope, AL",AL,Daphne-Fairhope,21894788.924528766,19279278.525576502,36841001.01731962,44546014.687141456,73917944.53687428,82442287.95983467,69133579.9884407,45410143.35518829
"Decatur, AL",AL,Decatur,12794327.484652258,11265941.132125275,21528219.956938412,26030682.55227236,43194314.07432426,48175556.03655269,40398547.14322393,26535640.38520591
"Montgomery, AL",AL,Montgomery,90957272.04763639,80091687.01181065,153048150.57091084,185057001.02900335,307076474.3893176,342489057.1012277,287200843.2833509,188646840.90435576
"Dothan, AL",AL,Dothan,26497371.606810804,23332045.31746373,44585480.94195994,53910193.37232745,89456502.71197319,99772779.16299711,83666399.60665065,54955973.649646476
"Mobile, AL",AL,Mobile,111735240.84145363,98387558.64375702,188009947.74143696,227330790.75352663,377223976.1617441,420726088.4069409,352808023.7204925,231740681.39805564
"Pensacola, FL-AL",AL,Pensacola,2240274.518820654,1972655.5287184555,3769570.746328777,4557947.645104392,7563283.126426482,8435493.83491796,7073747.007875602,4646365.279212706
"Tuscaloosa, AL",AL,Tuscaloosa,40366534.63496385,35544424.15601174,67922259.88926166,82127681.19922878,136279517.40381035,151995503.7606262,127458778.46376626,83720840.18916082
"Gadsden, AL",AL,Gadsden,24907931.6429954,21932476.869112544,41911029.065500386,50676400.33524867,84090470.84498513,93787927.34992765,78647686.00982058,51659449.674918264
"Birmingham, AL",AL,Birmingham,267250755.4939835,235325481.74360383,449686242.1908546,543734681.3628105,902252430.4817976,1006301719.4577755,843853829.5848025,554282352.7825062
"Auburn, AL",AL,Auburn,24666198.11302955,21719620.373019025,41504279.07334061,50184581.692312606,83274365.89314884,92877707.78326789,77884403.73350416,51158090.45709967
"Columbus, GA-AL",AL,Columbus,15459267.995562505,13612532.850411803,26012349.78399285,31452633.846188344,52191291.645496376,58210080.404593386,48813192.226604864,32062769.74236127
"Memphis, TN-MS-AR",AR,Memphis,9740807.869275602,14577587.361645259,16664659.503740294,20149944.796212025,33436043.031909153,37291946.171898656,31271884.943994142,20540825.146494146
"Fort Smith, AR-OK",AR,Fort Smith,28706990.27268224,42961391.31435791,49112170.64247578,59383603.19008736,98538866.07306445,109902540.97740434,92160907.89833423,60535560.86792276
"Fayetteville-Springdale-Rogers, AR-MO",AR,Fayetteville-Springdale-Rogers,63980804.99909497,95750351.18848495,109458922.13398254,132351413.35816586,219618842.4898087,244945672.68766305,205403945.89515886,134918843.06266308
"Texarkana-Texarkana, TX-AR",AR,Texarkana-Texarkana,6997705.891864118,10472403.35080494,11971736.591074467,14475533.170707706,24020142.72994926,26790187.728605878,22465431.662246566,14756337.98350056
"Jonesboro, AR",AR,Jonesboro,15830682.931384437,23691378.222813167,27083271.152007025,32747528.894382622,54339989.33372285,60606572.233467795,50822816.942792445,33382784.50895465
"Conway, AR",AR,Conway,19324958.109698985,28920729.04885477,33061307.76256937,39975825.85811775,66334347.17297114,73984140.46069106,62040836.31093686,40751300.181857616
"Pine Bluff, AR",AR,Pine Bluff,13436119.004736342,20107798.164339755,22986630.192339122,27794107.0036634,46120471.65422905,51439165.35550296,43135310.05320764,28333273.259017758
"Little Rock, AR",AR,Little Rock,131438953.8701325,196704714.68888652,224866914.6511437,271896099.3891352,451173924.8582163,503204093.3767203,421971554.9005498,277170498.08572847
