Area Name,State,UA,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
"Fairbanks, AK",AK,Fairbanks,8309342.4917768305,1789610.4421840338,20636340.43663728,11847118.07267972,11789562.395683013,32110617.526467923,14869551.564970825,528230.6019079743
"Anchorage, AK",AK,Anchorage,23007608.52603807,4955224.37649282,57139640.428357475,32803300.026170872,32643935.011899065,88910586.88571781,41172068.87345784,1462609.4558263083
"Huntsville, AL",AL,Huntsville,21649441.252412815,22124453.898770735,134384484.91295573,77148758.98458277,76774054.67496476,209105416.10871875,96831017.49072118,3439855.3600621386
"Anniston-Oxford, AL",AL,Anniston-Oxford,7431961.4263585275,7595026.866413296,46132382.65735092,26484129.275204677,26355498.335361786,71783071.3709273,33240783.37522378,1180855.988391167
"Florence, AL",AL,Florence,5542534.206954776,5664143.527513175,34404149.08772966,19751070.279862486,19655141.178074714,53533664.36248877,24789980.51170234,880647.0235344436
"Daphne-Fairhope, AL",AL,Daphne-Fairhope,5687520.83506712,5812311.322340317,35304123.96980529,20267736.65927678,20169298.157188218,54934046.42538625,25438459.267296202,903683.7857323594
"Decatur, AL",AL,Decatur,3323530.7447111085,3396452.6790876454,20630138.303019613,11843551.499186702,11786028.476829143,32100979.938476823,14865088.660715632,528072.060300941
"Montgomery, AL",AL,Montgomery,23627602.97233303,24146018.671109147,146663519.7714825,84198027.36907947,83789085.42196618,228211882.8646751,105678701.35783814,3754163.2498594755
"Dothan, AL",AL,Dothan,6883115.137932116,7034138.284383575,42725531.41779061,24528290.806594178,24409159.19133863,66481930.792606845,30785969.695059527,1093650.419199704
"Mobile, AL",AL,Mobile,29025011.95547322,29661852.7671502,180166833.67262155,103431937.37750044,102929578.12768757,280343826.5102268,129819583.21975577,4611751.489880826
"Pensacola, FL-AL",AL,Pensacola,581947.0580868672,594715.6191263463,3612317.5067577194,2073794.5521400939,2063722.3258829676,5620850.917846992,2602862.82233741,92464.91323693641
"Tuscaloosa, AL",AL,Tuscaloosa,10485851.568023585,10715922.729887318,65088781.98810381,37366804.3409389,37185317.26574174,101279674.14131133,46899855.97088965,1666085.1566809816
"Gadsden, AL",AL,Gadsden,6470232.741967981,6612196.792747876,40162648.27155312,23056965.792528786,22944980.265309848,62494024.39791302,28939278.96345654,1028047.9998913421
"Birmingham, AL",AL,Birmingham,69422648.70873488,70945858.27778727,430926913.0433869,247390735.4400953,246189181.76704794,670532402.0310014,310505275.0781043,11030486.537098877
"Auburn, AL",AL,Auburn,6407438.599811405,6548024.877775189,39772866.45913235,22833196.03873242,22722297.340287052,61887514.73922252,28658420.875407707,1018070.7093017419
"Columbus, GA-AL",AL,Columbus,4015791.5713517405,4103902.472658121,24927205.997695114,14310454.13405327,14240949.596233133,38787318.23805405,17961349.641821064,638064.6040953649
"Memphis, TN-MS-AR",AR,Memphis,2530330.2944759093,4394846.828012316,15969468.584467992,9167908.97821059,9123380.485603167,24848867.65027855,11506833.169819614,408772.3415726548
"Fort Smith, AR-OK",AR,Fort Smith,7457098.84898849,12951987.8468828,47063383.80415257,27018608.45530668,26887379.195753116,73231728.97945307,33911617.21989231,1204686.899767423
"Fayetteville-Springdale-Rogers, AR-MO",AR,Fayetteville-Springdale-Rogers,16620035.147680746,28866788.225118544,104892681.30057101,60217818.116965435,59925340.44564153,163215472.15765217,75580635.51561427,2684950.142346709
"Texarkana-Texarkana, TX-AR",AR,Texarkana-Texarkana,1817765.7795577818,3157217.1379363416,11472317.892230548,6586140.650125479,6554151.794657173,17851195.70122855,8266402.0633364925,293658.25313899596
"Jonesboro, AR",AR,Jonesboro,4112272.5282234377,7142469.864918667,25953452.43804897,14899612.242186416,14827244.89264613,40384180.681386314,18700813.105073437,664333.5355137764
"Conway, AR",AR,Conway,5019966.269808553,8719013.04179994,31682106.409511633,18188374.037874185,18100033.187107507,49298100.61542654,22828606.411943924,810970.5563756884
"Pine Bluff, AR",AR,Pine Bluff,3490246.3341981713,6062093.183771303,22027708.915201835,12645882.939993652,12584461.943521481,34275631.68915217,15872110.6002927,563845.8227411245
"Little Rock, AR",AR,Little Rock,34143365.8599152,59302480.579197325,215486258.71423912,123708462.5263438,123107611.08113721,335301672.3707211,155269063.3566215,5515826.78443178
"Hot Springs, AR",AR,Hot Springs,3510878.7967357137,6097929.024149598,22157924.904407993,12720638.61080607,12658854.526377521,34478250.82231989,15965937.996984888,567178.9765362216
"Avondale-Goodyear, AZ",AZ,Avondale-Goodyear,8499910.733476322,9366699.632125117,51370185.042187974,29491098.82706515,29347861.4014283,79933213.31796862,37014891.918713175,1314928.6010642939
"Sierra Vista, AZ",AZ,Sierra Vista,3590455.4328158363,3956596.5615692204,21699329.05801762,12457363.297513008,12396858.239379292,33764665.18520139,15635495.942470998,555440.24960899
"Flagstaff, AZ",AZ,Flagstaff,3796086.3540123403,4183196.950010842,22942083.10608746,13170815.710021624,13106845.433874791,35698419.64500243,16530964.914075255,587251.1695142508
"Tucson, AZ",AZ,Tucson,49291083.655411124,54317602.81009002,297896315.3502264,171019233.60792136,170188598.06938034,463533656.7694073,214649799.42384648,7625286.630444987
"Lake Havasu City, AZ",AZ,Lake Havasu City,3636880.508276646,4007755.891458124,21979904.32425268,12618438.693643523,12557151.2969062,34201246.88311224,15837665.02452172,562622.167330733
"Phoenix-Mesa, AZ",AZ,Phoenix-Mesa,209168806.7693744,230499054.26682758,1264135665.1520834,725727380.6041552,722202543.4211978,1967024757.696879,910875539.5326484,32358227.644474745
"Prescott Valley-Prescott, AZ",AZ,Prescott Valley-Prescott,5768690.021775433,6356959.313937283,34863739.53346564,20014916.96434624,19917705.08366592,54248796.78556653,25121138.840624936,892411.1956178643
"Casa Grande, AZ",AZ,Casa Grande,3494201.683986533,3850527.217781963,21117608.49136605,12123403.45861485,12064520.433890956,32859494.333521143,15216335.99816056,540549.8806081916
"Yuma, AZ-CA",AZ,Yuma,4810849.037926861,5301441.312352406,29074917.73001963,16691613.461400077,16610542.771021387,45241254.22572277,20949991.448119495,744234.0506540209
"Lodi, CA",CA,Lodi,3660737.450620962,3144618.348125383,21421501.014220215,12297870.96160396,12238125.436618812,33332345.336252715,15435300.406486554,548328.4407551528
"Santa Barbara, CA",CA,Santa Barbara,12340730.35672691,10600838.665020522,72214129.37111934,41457414.39972235,41256005.961174615,112366836.32753369,52034018.5170113,1848472.7532524948
"Porterville, CA",CA,Porterville,2010497.9382151607,1727042.3762040676,11764810.83483827,6754061.045417732,6721248.461499744,18306314.63697138,8477155.234858172,301145.11474073865
"Salinas, CA",CA,Salinas,8004601.7063937355,6876050.996525775,46840448.37546493,26890636.166100077,26759996.059373938,72884808.58178318,33750967.841603644,1198979.940992051
"Seaside-Monterey, CA",CA,Seaside-Monterey,7917625.621649255,6801337.473465221,46331491.283431254,26598448.954817902,26469228.352198325,72092859.71033204,33384237.909637786,1185952.112153127
"Stockton, CA",CA,Stockton,20785196.986336704,17854739.02302054,121628530.95297834,69825731.53563067,69486504.11967443,189256774.94655976,87639652.88952509,3113338.4483428174
"Santa Cruz, CA",CA,Santa Cruz,10032671.383775968,8618187.712091403,58708083.58202239,33703727.66201104,33539988.189592585,91351120.29201531,42302213.35918946,1502757.0621164222
"Chico, CA",CA,Chico,4221569.634318761,3626380.0693261665,24703317.138414495,14181929.00161996,14113030.344596373,38438926.25740803,17800018.81357499,632333.4372785056
"Woodland, CA",CA,Woodland,3717562.262484576,3193431.5581480744,21754022.20192866,12488768.07267583,12428095.131217154,33849755.906733334,15674899.135837708,556840.0209779013
"Delano, CA",CA,Delano,3641152.4388127346,3127794.582883776,21306895.59496451,12232077.128736153,12172651.24339414,33154016.68367598,15352721.269139979,545394.8736441995
"Redding, CA",CA,Redding,8378824.388692274,7197512.868324601,49030283.532051355,28147798.77879498,28011051.12381747,76292242.151464,35328857.43300805,1255033.384498403
"Merced, CA",CA,Merced,6201004.45550278,5326738.847188724,36286356.239561625,20831636.70018694,20730432.428745296,56462399.920922875,26146198.104540713,928825.7216110457
"Camarillo, CA",CA,Camarillo,4770985.968301823,4098335.4356717793,27918331.24811278,16027636.668629812,15949771.193375744,43441561.71671827,20116602.91108261,714628.4955289253
