Area Name,State,UA,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
"Fairbanks, AK",AK,Fairbanks,43418023.434810616,7754337.418226785,17276506.34685937,34548266.47948284,76632725.92920865,44983624.44534142,58007153.01529356,66119711.47439782
"Anchorage, AK",AK,Anchorage,120219486.33734314,21470863.65424571,47836648.34125219,95660154.96410386,212187156.83066988,124554454.50045708,160615099.1617722,183077835.45605594
"Huntsville, AL",AL,Huntsville,113122783.00937095,95864707.02288672,112505203.97324593,224979445.88900784,499034755.45476466,292934868.03759116,377744521.99640673,430573774.2180131
"Anniston-Oxford, AL",AL,Anniston-Oxford,38833526.92413125,32909062.013960853,38621520.363744974,77232411.87041141,171311906.3772017,100560592.50250484,129674603.78140958,147810174.12323475
"Florence, AL",AL,Florence,28960881.119529303,24542592.657204524,28802772.977461684,57597619.27170221,127759288.11830585,74995077.59015182,96707435.09011015,110232400.19901161
"Daphne-Fairhope, AL",AL,Daphne-Fairhope,29718466.06964367,25184600.017310273,29556221.991641413,59104309.94670498,131101331.2528459,76956866.73187256,99237195.73813908,113115959.1301465
"Decatur, AL",AL,Decatur,17366131.66480805,14716744.760688832,17271323.54066666,34537893.91709374,76609707.0633846,44970123.19023804,57989742.91594435,66099866.4951863
"Montgomery, AL",AL,Montgomery,123459084.82847859,104624096.76939605,122785076.10467507,245536361.07391575,544632765.9826503,319701034.2229314,412259951.03730965,469916339.5909054
"Dothan, AL",AL,Dothan,35965692.19032536,30478745.774980187,35769342.19852371,71528840.47525354,158660615.74416494,93134247.7207339,120098205.18276073,136894473.5692091
"Mobile, AL",AL,Mobile,151661656.80684546,128524068.35844414,150833679.83053526,301625849.393985,669046816.2385907,392732447.3567401,506435207.2291145,577262424.4054443
"Pensacola, FL-AL",AL,Pensacola,3040793.0628493982,2576887.9471709607,3024192.25089223,6047552.227267299,13414286.513636159,7874225.606009199,10153948.58099348,11574023.471280385
"Tuscaloosa, AL",AL,Tuscaloosa,54790730.98322131,46431825.96419328,54491608.1546537,108968219.91585627,241706209.04132658,141882255.04426917,182959594.29654536,208547307.6599887
"Gadsden, AL",AL,Gadsden,33808296.75722915,28650483.81373451,33623724.78358324,67238196.13121141,149143387.8813638,87547606.995615,112894136.42709151,128682883.74267532
"Birmingham, AL",AL,Birmingham,362747617.0979129,307406634.7312285,360767243.93377835,721435202.7167321,1600240584.3857272,939345925.8929759,1211302635.7797053,1380708699.2325892
"Auburn, AL",AL,Auburn,33480184.45009761,28372428.506421544,33297403.762671754,66585643.894747235,147695939.00682965,86697950.252436,111798489.52625214,127434005.74753879
"Columbus, GA-AL",AL,Columbus,20983336.855691593,17782107.074458912,20868781.07298113,41731818.94141363,92566803.05980067,54336985.4355612,70068471.96984357,79867859.5530542
"Memphis, TN-MS-AR",AR,Memphis,13221496.181206748,19042761.71089006,13369461.908398785,26735244.91238721,59302379.767852284,34810670.62477876,44888955.089648075,51166875.19782619
"Fort Smith, AR-OK",AR,Fort Smith,38964875.12718322,56120640.3550777,39400942.7252918,78791043.40600787,174769163.09090963,102590010.64614831,132291573.18398367,150793138.3412839
"Fayetteville-Springdale-Rogers, AR-MO",AR,Fayetteville-Springdale-Rogers,86843101.75486264,125079073.52445255,87814988.93969087,175605813.63460365,389517383.6532511,228647845.12963867,294845306.5441163,336080734.61453074
"Texarkana-Texarkana, TX-AR",AR,Texarkana-Texarkana,9498200.04337791,13680143.126729148,9604497.24735332,19206351.603951227,42602278.771147184,25007662.423883844,32247808.367234986,36757807.85795662
"Jonesboro, AR",AR,Jonesboro,21487469.697804406,30948143.811959527,21727942.412524223,43449905.89906645,96377752.62384196,56574023.087749586,72953170.27931705,83155995.75692512
"Conway, AR",AR,Conway,26230356.175618395,37779266.082916535,26523907.95469377,53040517.26695727,117651022.39968853,69061494.7571496,89055978.55305201,101510853.419155
"Pine Bluff, AR",AR,Pine Bluff,18237254.906925086,26266898.594046816,18441353.49359831,36877632.4391583,81799563.49803124,48016583.37030624,61918205.41755846,70577741.95782505
"Little Rock, AR",AR,Little Rock,178406108.60801262,256956169.51571622,180402704.85051718,360755767.88963896,800204958.6956366,469722654.61375314,605715396.1445996,690427389.5000917
