Area Name,UA,State,UA Number,Census Division,Census Division 2,Census Division 3,Total Number of Census Divisions,Weight Factor - 1st,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
"'Sierra Vista, AZ'",Sierra Vista,AZ,28,8,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Tucson, AZ'",Tucson,AZ,29,8,0,0,1,1,243162424.7,114042290.3,126913764,298554603,120412885.6,582929.9405,2086393.415,22656.36237,43337.18832
"'Yuma, AZ--CA'",Yuma,AZ--CA,30,8,9,0,2,0.5,23911563.97,11214436.29,12480162.55,29358596.41,11840893.68,57322.86386,205167.1005,2227.930811,4261.595731
"'Antioch, CA'",Antioch,CA,31,9,0,0,1,1,55330134.83,25957575.11,28878422.34,67934279.82,27399218.04,132642.1542,224306.4925,5560.162496,5260.062043
"'Arroyo Grande--Grover Beach, CA'",Arroyo Grande--Grover Beach,CA,32,9,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Bakersfield, CA'",Bakersfield,CA,33,9,0,0,1,1,114971940.8,53937927.28,60007232.47,141162424.8,56933554.99,275620.6171,466092.3537,11553.60773,10930.02111
"'Camarillo, CA'",Camarillo,CA,34,9,0,0,1,1,23521383.04,11034819.79,12276500.6,28879528.71,11647676.34,56387.48083,95354.89013,2363.679616,2236.10397
"'Chico, CA'",Chico,CA,35,9,0,0,1,1,20812711.89,9764074.023,10862765.58,25553825.2,10306355.35,49894.02157,84374.02904,2091.483429,1978.599116
"'Concord, CA'",Concord,CA,36,9,0,0,1,1,205589072.8,96450041.47,107302975,252422041.7,101806725.2,492855.7935,833451.1374,20659.78432,19544.70709
"'Davis, CA'",Davis,CA,37,9,0,0,1,1,14040142.6,6586791.395,7327962.762,17238471.93,6952611.438,33658.23643,56918.26252,1410.903381,1334.752235
"'Delano, CA'",Delano,CA,38,9,0,0,1,1,0,0,0,0,0,0,0,0,0
"'El Centro--Calexico, CA'",El Centro--Calexico,CA,39,9,0,0,1,1,5408140.923,2537174.808,2822667.578,6640109.587,2678085.509,12964.86019,21924.42012,543.467722,514.1349624
"'El Paso, TX--NM'",El Paso de Robles (Paso Robles)--Atascadero,CA,40,9,0,0,1,1,174946166.1,82049113.88,91309652.28,214798743,86632516.17,419396.041,1094353.679,23185.18541,32899.7502
"'Fairfield, CA'",Fairfield,CA,41,9,0,0,1,1,54011008.05,25338720.08,28189931.33,66314657.38,26745992.77,129479.8302,218958.7972,5427.602558,5134.656806
"'Fresno, CA'",Fresno,CA,42,9,0,0,1,1,172623845.2,80984737.17,90097454.53,211947370.8,85482502.21,413828.7168,699811.2212,17347.08641,16410.80649
"'Gilroy--Morgan Hill, CA'",Gilroy--Morgan Hill,CA,43,9,0,0,1,1,33614869.86,15770077.41,17544587.8,41272300.93,16645922.72,80584.45486,136273.5438,3377.980901,3195.660043
"'Hanford, CA'",Hanford,CA,44,9,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Hemet, CA'",Hemet,CA,45,9,0,0,1,1,19337966.38,9072212.027,10093052.58,23743134.24,9576068.426,46358.63488,78395.46067,1943.285259,1838.399694
"'Indio--Cathedral City, CA'",Indio--Cathedral City,CA,46,9,0,0,1,1,99717912.98,46781653.87,52045707.37,122433545.9,49379833.4,239052.3507,404253.0416,10020.7202,9479.868623
"'Lancaster--Palmdale, CA'",Lancaster--Palmdale,CA,47,9,0,0,1,1,81179030.22,38084323.86,42369719.99,99671525.67,40199467.36,194609.3477,329097.0388,8157.735394,7717.435297
"'Livermore, CA'",Livermore,CA,48,9,0,0,1,1,36785667.48,17257625.15,19199520.2,45165402.83,18216086.53,88185.76341,149127.85,3696.616488,3497.097808
"'Lodi, CA'",Lodi,CA,49,9,0,0,1,1,18047759.59,8466924.519,9419655.771,22159019.75,8937164.201,43265.64031,73165.00608,1813.631511,1715.74379
"'Lompoc, CA'",Lompoc,CA,50,9,0,0,1,1,6524848.947,3061067.123,3405510.292,8011202.495,3231073.98,15641.92864,26451.51662,655.6864631,620.2968851
"'Los Angeles--Long Beach--Anaheim, CA'",Los Angeles--Long Beach--Anaheim,CA,51,9,0,0,1,1,3832120320,1797800626,2000096139,4705073193,1897647648,9186688.161,15535285.98,385092.3507,364307.6364
"'Madera, CA'",Madera,CA,52,9,0,0,1,1,3180806.718,1492243.414,1660156.442,3905391.054,1575120.268,7625.303219,12894.88269,319.6414083,302.3892989
"'Manteca, CA'",Manteca,CA,53,9,0,0,1,1,11005246.22,5163000.349,5743961.213,13512229.43,5449745.274,26382.72203,44614.89542,1105.924601,1046.234174
"'Merced, CA'",Merced,CA,54,9,0,0,1,1,30571500.73,14342311.45,15956164.08,37535655.6,15138860.89,73288.62885,123935.8285,3072.150689,2906.336504
"'Mission Viejo--Lake Forest--San Clemente, CA'",Mission Viejo--Lake Forest--San Clemente,CA,55,9,0,0,1,1,177902332.3,83461086.19,92852451.96,218428291.5,88096383.76,426482.7597,721210.0291,17877.52513,16912.61567
"'Modesto, CA'",Modesto,CA,56,9,0,0,1,1,81160966.52,38075849.46,42360292.02,99649347.09,40190522.3,194566.0438,329023.8092,8155.920161,7715.718039
"'Murrieta--Temecula--Menifee, CA'",Murrieta--Temecula--Menifee,CA,57,9,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Napa, CA'",Napa,CA,58,9,0,0,1,1,16896610.81,7926874.667,8818837.411,20745640.51,8367120.829,40506.0075,68498.28788,1697.951794,1606.307692
"'Oxnard, CA'",Oxnard,CA,59,9,0,0,1,1,109370586,51310108.14,57083720.92,134285087.5,54159790.91,262192.568,443384.6512,10990.72382,10397.51792
"'Petaluma, CA'",Petaluma,CA,60,9,0,0,1,1,7238550.569,3395893.046,3778012.129,8887484.576,3584495.609,17352.8755,29344.83882,727.4068195,688.1462555
"'Porterville, CA'",Porterville,CA,61,9,0,0,1,1,9911932.758,4650083.356,5173328.807,12169860.34,4908341.678,23761.73703,40182.63966,996.0567953,942.296299
"'Redding, CA'",Redding,CA,62,9,0,0,1,1,41308345.73,19379394.07,21560038.81,50718342.3,20455695.17,99027.9164,167462.6344,4151.103471,3927.054617
"'Riverside--San Bernardino, CA'",Riverside--San Bernardino,CA,63,9,0,0,1,1,630515358.5,295799925.8,329084483,774146076.5,312228188.8,1511525.603,2556087.906,63360.91282,59941.11373
"'Sacramento, CA'",Sacramento,CA,64,9,0,0,1,1,494717960.2,232091945,258207832.7,607414177.6,244981966.9,1185980.41,2005569.854,49714.54085,47031.28183
"'Salinas, CA'",Salinas,CA,65,9,0,0,1,1,39463394.79,18513853.94,20597104.73,48453113.53,19542084.29,94605.04145,159983.2658,3965.703109,3751.660929
"'San Diego, CA'",San Diego,CA,66,9,0,0,1,1,931636596.5,437067919.8,486248500.7,1143862408,461341985.2,2233399.313,3776823.206,93620.78874,88567.76356
"'San Francisco--Oakland, CA'",San Francisco--Oakland,CA,67,9,0,0,1,1,947103828.7,444324215.8,494321303.4,1162853059,469001284.5,2270478.691,3839526.841,95175.10131,90038.18471
"'San Jose, CA'",San Jose,CA,68,9,0,0,1,1,509218548.5,238894749.8,265776115.5,625217984.1,252162588.8,1220742.466,2064354.747,51171.71473,48409.80718
"'San Luis Obispo, CA'",San Luis Obispo,CA,69,9,0,0,1,1,14032796.81,6583345.193,7324128.779,17229452.77,6948973.839,33640.62648,56888.48294,1410.165198,1334.053895
"'Santa Barbara, CA'",Santa Barbara,CA,70,9,0,0,1,1,60840892.77,28542891.66,31754648.75,74700382.47,30128119.01,145853.0168,246646.9185,6113.942271,5783.952483
"'Santa Clarita, CA'",Santa Clarita,CA,71,9,0,0,1,1,36071384.4,16922526.45,18826714.89,44288406.84,17862376.97,86473.42264,146232.1706,3624.837701,3429.193161
"'Santa Cruz, CA'",Santa Cruz,CA,72,9,0,0,1,1,49461957.78,23204578.99,25815648.4,60729338.37,24493324.84,118574.4559,200517.1015,4970.465434,4702.192892
"'Santa Maria, CA'",Santa Maria,CA,73,9,0,0,1,1,31278192.65,14673848.84,16325007.34,38403331.17,15488811.35,74982.77144,126800.7335,3143.166635,2973.519483
"'Santa Rosa, CA'",Santa Rosa,CA,74,9,0,0,1,1,83218181.73,39040971.24,43434013.05,102175193.7,41209245.43,199497.7769,337363.69,8362.651103,7911.291024
"'Seaside--Monterey, CA'",Seaside--Monterey,CA,75,9,0,0,1,1,39034595,18312686.83,20373301.52,47926633.61,19329744.68,93577.08573,158244.9259,3922.612729,3710.89628
"'Simi Valley, CA'",Simi Valley,CA,76,9,0,0,1,1,36175722.16,16971475.45,18881171.83,44416512.61,17914044.53,86723.55006,146655.1523,3635.322672,3439.112223
"'Stockton, CA'",Stockton,CA,77,9,0,0,1,1,102472860.6,48074109.76,53483595.42,125816067.6,50744070.27,245656.7478,415421.5058,10297.56674,9741.772833
"'Thousand Oaks, CA'",Thousand Oaks,CA,78,9,0,0,1,1,88450795.53,41495799.27,46165067.87,108599791.3,43800410.75,212041.8484,358576.5291,8888.479986,8408.739174
"'Tracy, CA'",Tracy,CA,79,9,0,0,1,1,4159468.528,1951372.739,2170948.783,5106990.968,2059748.914,9971.435416,16862.34452,417.9877924,395.4276018
"'Turlock, CA'",Turlock,CA,80,9,0,0,1,1,8242447.384,3866861.119,4301975.359,10120068,4081620.508,19759.50322,33414.60251,828.2890862,783.5835709
"'Vacaville, CA'",Vacaville,CA,81,9,0,0,1,1,27799827.26,13042008.78,14509546.29,34132597.91,13766341.45,66644.13501,112699.5581,2793.623356,2642.842217
"'Vallejo, CA'",Vallejo,CA,82,9,0,0,1,1,47026665.38,22062086.1,24544597.77,57739288.99,23287379.69,112736.3637,190644.5085,4725.741261,4470.677296
"'Victorville--Hesperia, CA'",Victorville--Hesperia,CA,83,9,0,0,1,1,73910249.43,34674248.62,38575929.83,90746924.48,36600001.89,177184.0017,299629.6477,7427.29072,7026.41515
"'Visalia, CA'",Visalia,CA,84,9,0,0,1,1,32537985.68,15264868.05,16982530.32,39950103.7,16112654.83,78002.85556,131907.8918,3269.764085,3093.284048
"'Watsonville, CA'",Watsonville,CA,85,9,0,0,1,1,13217866.64,6201028.916,6898792.788,16228882.39,6545424.317,31687.00583,53584.78363,1328.272316,1256.581044
"'Woodland, CA'",Woodland,CA,86,9,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Yuba City, CA'",Yuba City,CA,87,9,0,0,1,1,25470245.79,11949109.11,13293669.31,31272340.29,12612743.85,61059.46211,103255.5137,2559.522146,2421.376227
"'Boulder, CO'",Boulder,CO,88,8,0,0,1,1,28707865.04,13463801.88,14983496.33,35247490.58,14215999.38,68820.97071,129904.1771,1555.106515,2236.676814
"'Colorado Springs, CO'",Colorado Springs,CO,89,8,0,0,1,1,154578918.9,72496507.01,80679376.88,189791856,76546751.62,370569.9199,699475.4654,8373.547927,12043.4969
"'Denver--Aurora, CO'",Denver--Aurora,CO,90,8,0,0,1,1,716624186.9,336092080.1,374027670,879870524.7,354868917.7,1717953.324,3242751.601,38819.56879,55833.36485
"'Fort Collins, CO'",Fort Collins,CO,91,8,0,0,1,1,74712526.77,35039688.85,38994709.94,91731972.4,36997290.9,179107.3147,338077.0148,4047.181389,5820.975405
"'Grand Junction, CO'",Grand Junction,CO,92,8,0,0,1,1,28485524.24,13359525.49,14867449.99,34974500.74,14105897.26,68287.95615,128898.0766,1543.062302,2219.353877
"'Greeley, CO'",Greeley,CO,93,8,0,0,1,1,27952510.69,13109545.61,14589254.22,34320067.19,13841951.46,67010.17009,126486.1701,1514.188931,2177.825918
"'Lafayette--Louisville--Erie, CO'",Lafayette--Louisville--Erie,CO,94,8,0,0,1,1,19859665.64,9314053.943,10365355.51,24383679.4,9834412.763,47609.30376,89865.73955,1075.799101,1547.299097
"'Longmont, CO'",Longmont,CO,95,8,0,0,1,1,17471729.68,8194127.518,9119020.068,21451773.8,8651918.137,41884.73767,79060.23885,946.4444885,1361.251093
"'Pueblo, CO'",Pueblo,CO,96,8,0,0,1,1,40923897.05,19193041.4,21359410.05,50246323.57,20265320.82,98106.29653,185182.1849,2216.849593,3188.447888
"'Hartford, CT'",Hartford,CT,97,1,0,0,1,1,343669634.2,161181586.6,179371483.9,421957261,170183580.8,823874.4893,625927.9319,17426.60049,11831.99113
"'New Haven, CT'",New Haven,CT,98,1,0,0,1,1,208584339.2,97826375.67,108866419.1,256099659.9,103289980.3,500036.3687,379896.1301,10576.7737,7181.222328
"'Waterbury, CT'",Waterbury,CT,99,1,0,0,1,1,52360699.2,24557248.4,27328618.48,64288418.35,25928771.11,125523.5843,95364.91125,2655.075968,1802.69441
"'Bridgeport--Stamford, CT--NY'",Bridgeport--Stamford,CT--NY,100,1,2,0,2,0.5,308708592.4,144784804.3,161124268.2,379032126,152871037.9,740062.8644,562253.1395,15653.81626,10628.33885
"'Danbury, CT--NY'",Danbury,CT--NY,101,1,2,0,2,0.5,55870677.51,26203433.62,29160581.37,68597966.49,27666895.8,133938.0071,101757.6595,2833.057912,1923.537301
"'Norwich--New London, CT--RI'",Norwich--New London,CT--RI,102,1,0,0,1,1,92299388.92,43288555.27,48173817.84,113325104.9,45706221.75,221268.0561,168105.5289,4680.263883,3177.719071
"'Washington, DC--VA--MD'",Washington,DC--VA--MD,103,5,0,0,1,1,1766818098,828641872.6,922155320.7,2169297635,874919982,4235568.732,295649.6605,176144.5991,176403.2218
"'Dover, DE'",Dover,DE,104,5,0,0,1,1,21196068.35,9941006.263,11062863.37,26024513.22,10496193,50813.04323,101268.8693,2205.038669,644.0805515
"'Bonita Springs, FL'",Bonita Springs,FL,105,5,0,0,1,1,114486461.4,53694421.58,59753915.64,140566372,56693155.29,274456.8198,526968.1141,10403.32213,10252.69546
"'Cape Coral, FL'",Cape Coral,FL,106,5,0,0,1,1,182509850.7,85597552.27,95257361.32,224085426.8,90378016.57,437528.3556,840072.0105,16584.5703,16344.44715
"'Deltona, FL'",Deltona,FL,107,5,0,0,1,1,53091617.77,24900094.49,27710106.59,65185839.45,26290718.51,127275.8053,244374.6565,4824.406266,4754.555096
"'Fort Walton Beach--Navarre--Wright, FL'",Fort Walton Beach--Navarre--Wright,FL,108,5,0,0,1,1,71698577.5,33626802.67,37421636.57,88031447.48,35504797.14,171882.014,330020.3683,6515.210519,6420.878687
"'Gainesville, FL'",Gainesville,FL,109,5,0,0,1,1,58963382.87,27653966.22,30774756.79,72395187.23,29198388.87,141352.107,271401.7211,5357.970349,5280.39386
"'Homosassa Springs--Beverly Hills--Citrus Springs, FL'",Homosassa Springs--Beverly Hills--Citrus Springs,FL,110,5,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Jacksonville, FL'",Jacksonville,FL,111,5,0,0,1,1,443298078.4,207907848.7,231370553.8,544280972.7,219519115.9,1062712.388,2040450.455,40282.2539,39699.0189
"'Kissimmee, FL'",Kissimmee,FL,112,5,0,0,1,1,95038430.68,44573249.1,49603405.5,116688097.7,47062582.27,227834.3231,437451.0485,8636.090212,8511.050781
"'Lady Lake--The Villages, FL'",Lady Lake--The Villages,FL,113,5,0,0,1,1,26502090.18,12429543.07,13832235.19,32539241.94,13123709.96,63533.09639,121986.0961,2408.230438,2373.362373
"'Lakeland, FL'",Lakeland,FL,114,5,0,0,1,1,92959308.07,43598135.67,48518249.09,114135352.9,46033010.56,222850.0711,427881.0844,8447.161477,8324.85749
"'Leesburg--Eustis--Tavares, FL'",Leesburg--Eustis--Tavares,FL,115,5,0,0,1,1,44652477.8,20942117.85,23305466.5,54824271.16,22111696.24,107044.7711,205530.2586,4057.546234,3998.798206
"'Miami, FL'",Miami,FL,116,5,0,0,1,1,1773575495,831811108,925682209,2177594361,878266213.3,4251768.148,8163565.562,161163.8351,158830.391
"'North Port--Port Charlotte, FL'",North Port--Port Charlotte,FL,117,5,0,0,1,1,64649990.41,30320998.63,33742767.7,79377198.74,32014370.08,154984.5331,297576.5265,5874.709266,5789.651065
"'Ocala, FL'",Ocala,FL,118,5,0,0,1,1,65346362.16,30647598.63,34106225,80232203.34,32359210.09,156653.9355,300781.8462,5937.988186,5852.013788
"'Orlando, FL'",Orlando,FL,119,5,0,0,1,1,583129527.6,273489129.7,304352778.2,715965897.5,288762989.6,1397928.399,2684078.656,52988.66121,52221.45385
"'Palm Bay--Melbourne, FL'",Palm Bay--Melbourne,FL,120,5,0,0,1,1,189541171,88895258.13,98927218.12,232718475.3,93859893.18,454384.443,872436.3752,17223.50253,16974.12846
"'Palm Coast--Daytona Beach--Port Orange, FL'",Palm Coast--Daytona Beach--Port Orange,FL,121,5,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Panama City, FL'",Panama City,FL,122,5,0,0,1,1,59874689.74,28081371.31,31250395.16,73514088.97,29649663.73,143536.7704,275596.3626,5440.780306,5362.004835
"'Port St. Lucie, FL'",Port St. Lucie,FL,123,5,0,0,1,1,155063293.1,72725051.76,80932180.29,190386568.6,76786610.82,371731.1005,713738.6389,14090.51663,13886.50415
"'Sarasota--Bradenton, FL'",Sarasota--Bradenton,FL,124,5,0,0,1,1,231580803.1,108611945.2,120868962.1,284334697,114677720.6,555165.475,1065940.003,21043.62091,20738.93646
"'Sebastian--Vero Beach South--Florida Ridge, FL'",Sebastian--Vero Beach South--Florida Ridge,FL,125,5,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Sebring--Avon Park, FL'",Sebring--Avon Park,FL,126,5,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Spring Hill, FL'",Spring Hill,FL,127,5,0,0,1,1,0,0,0,0,0,0,0,0,0
"'St. Augustine, FL'",St. Augustine,FL,128,5,0,0,1,1,21303828.78,9991546.157,11119106.76,26156821.37,10549555.45,51071.37581,98059.09218,1935.867268,1907.838411
"'Tallahassee, FL'",Tallahassee,FL,129,5,0,0,1,1,89473363.24,41963219.28,46698830,109855313.1,44306787.14,214493.2634,411835.6782,8130.395577,8012.677952
"'Tampa--St. Petersburg, FL'",Tampa--St. Petersburg,FL,130,5,0,0,1,1,857518745.7,402178322.9,447564735.2,1052860727,424639235.2,2055717.898,3947060.907,77922.25937,76794.04572
"'Titusville, FL'",Titusville,FL,131,5,0,0,1,1,20127511.42,9439850.529,10505151.48,24712540,9967048.647,48251.40637,92644.63764,1828.975953,1802.494744
"'Winter Haven, FL'",Winter Haven,FL,132,5,0,0,1,1,74784150.51,35073943.72,39032089.6,91819911.18,37032758.33,179279.0157,344222.9087,6795.594851,6697.203416
"'Zephyrhills, FL'",Zephyrhills,FL,133,5,0,0,1,1,16958607.04,7953626.87,8851205.303,20821762.12,8397822.157,40654.63548,78058.5325,1541.019346,1518.707376
"'Pensacola, FL--AL'",Pensacola,FL--AL,134,5,6,0,2,0.5,166265409.2,77978870.75,86778900.45,204140516.5,82333845.84,398585.7795,765300.7007,15108.44679,14889.696
"'Albany, GA'",Albany,GA,135,5,0,0,1,1,39754421.65,18644917.92,20749024.19,48810442.33,19686201.95,95302.72842,339423.6535,2967.328323,3865.26868
"'Atlanta, GA'",Atlanta,GA,136,5,0,0,1,1,1828204439,857432212.1,954194692.1,2244667728,905318208.5,4382729.364,15609227.96,136459.8599,177753.8463
"'Brunswick, GA'",Brunswick,GA,137,5,0,0,1,1,25621394.73,12016494.82,13372573.84,31457924.88,12687593.73,61421.8173,218755.727,1912.41847,2491.133576
"'Cartersville, GA'",Cartersville,GA,138,5,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Dalton, GA'",Dalton,GA,139,5,0,0,1,1,32144569.54,15075879.25,16777214.29,39467072.9,15917839.1,77059.73457,274450.6593,2399.317802,3125.373045
"'Gainesville, GA'",Gainesville,GA,140,5,0,0,1,1,47376257.73,22219577.09,24727088.88,58168525.65,23460499.2,113574.4512,404498.9669,3536.233343,4606.329498
"'Hinesville, GA'",Hinesville,GA,141,5,0,0,1,1,11877617.88,5570630.92,6199284.773,14583328.31,5881740.31,28474.05004,101411.2214,886.5628144,1154.844731
"'Macon, GA'",Macon,GA,142,5,0,0,1,1,71223626.67,33404049.61,37173745.49,87448303.29,35269603.73,170743.4209,608108.0437,5316.235927,6924.976945
"'Rome, GA'",Rome,GA,143,5,0,0,1,1,29443816.55,13809219.7,15367610.36,36151090.87,14580438.97,70585.25656,251391.603,2197.729639,2862.782482
"'Savannah, GA'",Savannah,GA,144,5,0,0,1,1,101571193.9,47637130.51,53013050.41,124709018.4,50297575.76,243495.2265,867215.879,7581.422841,9875.629883
"'Valdosta, GA'",Valdosta,GA,145,5,0,0,1,1,32102095.46,15055958.81,16755045.79,39414923.26,15896806.14,76957.91204,274088.0152,2396.147475,3121.243347
"'Warner Robins, GA'",Warner Robins,GA,146,5,0,0,1,1,33698986.33,15804904.41,17588511,41375584.41,16687578.96,80786.11657,287722.2856,2515.341751,3276.506888
"'Columbus, GA--AL'",Columbus,GA--AL,147,5,6,0,2,0.5,87603206.77,41086111.47,45722739.28,107559136.7,43380694.48,210009.9631,747957.064,6538.831802,8517.541377
"'Kahului, HI'",Kahului,HI,148,9,0,0,1,1,0,0,0,0,0,0,0,0,0
"'Kailua (Honolulu County)--Kaneohe, HI'",Kailua (Honolulu County)--Kaneohe,HI,149,9,0,0,1,1,31293340.63,14680955.37,16332913.52,38421929.85,15496312.56,75019.08548,151861.9131,2216.713631,164.4420769
"'Urban Honolulu, HI'",Urban Honolulu,HI,150,9,0,0,1,1,197031828.1,92435496.35,102836697.6,241915465.8,97569218.55,472341.631,956166.0646,13957.06339,1035.374376
"'Ames, IA'",Ames,IA,151,4,0,0,1,1,9801542.619,4596859.703,5115719.25,12034325.11,4853677.679,23497.10355,116145.073,1253.732748,1126.323315
"'Cedar Rapids, IA'",Cedar Rapids,IA,152,4,0,0,1,1,48576417.94,22782023.89,25353490.36,59642081.75,24054813.07,116451.5798,575614.6587,6213.49601,5582.055213
"'Des Moines, IA'",Des Moines,IA,153,4,0,0,1,1,134394119.6,63029967.51,70144324.37,165008977.8,66551334.22,322181.1778,1592526.345,17190.59085,15443.61293
"'Iowa City, IA'",Iowa City,IA,154,4,0,0,1,1,24959014.31,11705615.29,13026858.62,30644655.06,12359586.18,59833.90232,295756.1531,3192.551909,2868.111768
"'Waterloo, IA'",Waterloo,IA,155,4,0,0,1,1,30939645.46,14510492.37,16148329.5,37987668.54,15321166.52,74171.18726,366624.6754,3957.545075,3555.36321
"'Davenport, IA--IL'",Davenport,IA--IL,156,4,3,0,2,0.5,81229672.64,38096187.85,42396203.96,99733718.17,40224550.8,194730.779,962545.043,10390.23189,9334.334165
"'Dubuque, IA--IL'",Dubuque,IA--IL,157,4,3,0,2,0.5,15374210.83,7210404.831,8024262.035,18876442.08,7613236.699,36856.38455,182179.368,1966.54265,1766.694569
"'Sioux City, IA--NE--SD'",Sioux City,IA--NE--SD,158,4,0,0,1,1,28588027.86,13407599.03,14920949.71,35100354.6,14156656.57,68533.68669,338758.7764,3656.745487,3285.132102
