Area Name,State,UA,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
"Fairbanks, AK",AK,Fairbanks,3282483.450877407,766407.6402541947,15479243.37589123,7513908.425898577,8547291.403240941,17701926.455281265,6770459.19615243,0.0
"Anchorage, AK",AK,Anchorage,9088817.112271491,2122094.133896089,42860234.99744057,20805143.57599986,23666461.54715027,49014587.42889505,18746618.626052078,0.0
"Huntsville, AL",AL,Huntsville,8552293.120919602,9474883.530393505,100801364.8608208,48872062.963048406,55660326.56960663,115275537.57900858,44089456.89978085,0.0
"Anniston-Oxford, AL",AL,Anniston-Oxford,2935886.974658162,3252599.829073017,34603750.12156121,16777120.597856583,19107440.01292562,39572538.55659917,15135316.388442561,0.0
"Florence, AL",AL,Florence,2189496.561040256,2425691.5207114504,25806440.283375088,12511873.982288323,14249756.39719739,29512013.857888773,11287465.583244976,0.0
"Daphne-Fairhope, AL",AL,Daphne-Fairhope,2246771.394500096,2489144.9557822435,26481508.51400038,12839170.910430375,14622514.427063854,30284015.837180294,11582733.327879785,0.0
"Decatur, AL",AL,Decatur,1312911.903534222,1454544.0849338411,15474599.612885742,7502632.604758149,8544738.15088098,17696613.450207964,6768427.130086141,0.0
"Montgomery, AL",AL,Montgomery,9333736.792933753,10340626.515720578,110011828.9535679,53337621.35782953,60746145.000416376,125808541.78098099,48118017.030934274,0.0
"Dothan, AL",AL,Dothan,2719073.3265725183,3012397.1098296535,32048282.092287607,15538139.413433563,17696366.013640493,36650128.21773895,14017581.547342028,0.0
"Mobile, AL",AL,Mobile,11465903.770321913,12702803.944916515,135142555.69470036,65521885.542105064,74622787.04067364,154547815.68699524,59109932.61702952,0.0
"Pensacola, FL-AL",AL,Pensacola,229889.61994855333,254689.2795957814,2709587.6077336567,1313703.8010536388,1496175.4865487292,3098660.1077295546,1185145.123900861,0.0
"Tuscaloosa, AL",AL,Tuscaloosa,4142281.3266461357,4589135.634756618,48822883.577512875,23671058.85453347,26958936.992037505,55833412.15990474,21354615.824754857,0.0
"Gadsden, AL",AL,Gadsden,2555970.213028683,2831699.0230800007,30125871.78363577,14606086.977685614,16634852.752107972,34451677.01538423,13176739.49560962,0.0
"Birmingham, AL",AL,Birmingham,27424395.579796385,30382840.05659398,323236875.28489286,156716656.9888613,178484389.19986513,369650794.0668529,141380409.88800433,0.0
"Auburn, AL",AL,Auburn,2531164.3114010887,2804217.1506202105,29833497.714446258,14464333.699464412,16473410.134797756,34117320.64980804,13048858.15253512,0.0
"Columbus, GA-AL",AL,Columbus,1586379.3541041513,1757512.2136998854,18697816.108474456,9065361.83698082,10324528.36499882,21382654.951486617,8178228.127891441,0.0
"Memphis, TN-MS-AR",AR,Memphis,999569.7403363235,1882110.2667600592,11978645.973260334,5808150.724967549,6614347.821586181,13698672.324805744,5239333.823403699,0.0
"Fort Smith, AR-OK",AR,Fort Smith,2945817.14348466,5546739.227904969,35302089.72901767,17117114.781601306,19493046.277334303,40371153.85647214,15440762.934888922,0.0
"Fayetteville-Springdale-Rogers, AR-MO",AR,Fayetteville-Springdale-Rogers,6565500.264220933,12362314.458967479,78679655.98477194,38149829.45219886,43445195.085298985,89977350.39250648,34413654.409270674,0.0
"Texarkana-Texarkana, TX-AR",AR,Texarkana-Texarkana,718081.616550841,1352090.5328999436,8605347.998704746,4172521.5294655873,4751686.03498945,9840998.952496318,3763888.751067377,0.0
"Jonesboro, AR",AR,Jonesboro,1624492.736067834,3058790.5310155414,19467599.49430063,9439360.038572425,10749585.102863872,22262972.544499837,8514923.366017515,0.0
"Conway, AR",AR,Conway,1983063.7888517014,3733951.285262071,23764644.03679748,11522891.218176017,13122319.656699838,27177034.224272285,10394405.476302162,0.0
"Pine Bluff, AR",AR,Pine Bluff,1378770.443368885,2596115.0105411983,16522912.1621409,8011553.598573666,9123592.792530833,18895454.466721356,7226948.082903472,0.0
"Little Rock, AR",AR,Little Rock,13487834.146123746,25396518.220164362,161635535.43358228,78373094.45531231,89251627.77767952,184844951.6658113,70697684.00798948,0.0
"Hot Springs, AR",AR,Hot Springs,1386920.994016828,2611461.8487208732,16620586.748274315,8058913.602327688,9177526.574984882,19007154.249225114,7269669.920075897,0.0
"Avondale-Goodyear, AZ",AZ,Avondale-Goodyear,3357764.629894944,4011325.5895322356,38532607.59268292,18683096.578758378,21276868.496887807,44065545.05912777,16853757.444576427,0.0
"Sierra Vista, AZ",AZ,Sierra Vista,1418356.572856912,1694427.8836960003,16276595.673743794,7891944.717587763,8987582.397434805,18613769.087528862,7119211.822062408,0.0
"Flagstaff, AZ",AZ,Flagstaff,1499588.041710697,1791470.3823831922,17208781.415904667,8343928.565507787,9502315.10538673,19679808.356370527,7526940.06505459,0.0
"Tucson, AZ",AZ,Tucson,19471717.11056809,23261724.905416686,223451050.7071262,108343499.74744591,123384814.0163177,255536621.02312782,97735140.30409893,0.0
"Lake Havasu City, AZ",AZ,Lake Havasu City,1436696.1156133518,1716337.0659252293,16487054.26222599,7993988.632601412,9103793.056171188,18854447.645073555,7211264.195986886,0.0
"Phoenix-Mesa, AZ",AZ,Phoenix-Mesa,82629058.47721653,98712117.5074694,948224023.1219101,459760242.27463824,523588698.144216,1084380503.3573809,414743218.4644522,0.0
"Prescott Valley-Prescott, AZ",AZ,Prescott Valley-Prescott,2278836.087025996,2722392.578935138,26151176.865593784,12679779.37524424,14440111.530727368,29906251.731036987,11438249.81797055,0.0
"Casa Grande, AZ",AZ,Casa Grande,1380332.946086229,1649003.2742060744,15840248.98149479,7680375.662119584,8746641.236946173,18114766.916901015,6928358.366447728,0.0
"Yuma, AZ-CA",AZ,Yuma,1900455.1042747647,2270362.884778208,21809000.585851658,10574411.899106419,12042456.156064313,24940577.81318912,9539027.565120377,0.0
"Lodi, CA",CA,Lodi,1446120.4495496722,1346695.0521062054,16068189.449294072,7799793.643662761,8872494.230532154,18375440.000119064,7028058.0504296655,0.0
"Santa Barbara, CA",CA,Santa Barbara,4875023.891214598,4539850.4358628355,54167553.939413615,26293923.4219671,29910109.743609037,61945537.8285098,23692321.697931193,0.0
"Porterville, CA",CA,Porterville,794217.6191131157,739612.6223706136,8824741.515722878,4283691.264564108,4872824.560058238,10091896.709983692,3859849.664347954,0.0
"Salinas, CA",CA,Salinas,3162100.0889185974,2944695.613243935,35134848.76186894,17055099.512528926,19400676.34340703,40179903.73926941,15367615.465993287,0.0
"Seaside-Monterey, CA",CA,Seaside-Monterey,3127741.466791948,2912699.25607358,34753081.91131397,16869782.886550844,19189873.241436746,39743318.529806666,15200634.637450226,0.0
"Stockton, CA",CA,Stockton,8210886.143927389,7646361.509428751,91233115.57366729,44286226.34731899,50376882.480458856,104333387.81187345,39904410.78608655,0.0
"Santa Cruz, CA",CA,Santa Cruz,3963259.1649612025,3690772.445220507,44036718.46219904,21376230.211445305,24316089.359065603,50360003.562182575,19261200.19180877,0.0
"Chico, CA",CA,Chico,1667668.949148684,1553011.38509524,18529867.703600157,8994737.383980872,10231777.812399356,21190593.580697905,8104770.37868166,0.0
"Woodland, CA",CA,Woodland,1468568.2551042186,1367599.4993674024,16317612.374254221,7920868.102663082,9010219.981753528,18660677.86134311,7137153.02975261,0.0
"Delano, CA",CA,Delano,1438383.678895512,1339490.209133075,15982224.344080672,7758064.606092213,8825026.225350868,18277131.06257899,6990457.812290974,0.0
"Redding, CA",CA,Redding,3309931.251589236,3082362.9115506923,36777436.092019014,17852441.506615784,20307676.26744278,42058352.14973763,16086065.988724846,0.0
"Merced, CA",CA,Merced,2449615.5410790476,2281196.652575451,27218262.907664627,13212243.65001941,15029314.993791748,31126565.848975025,11904983.59199565,0.0
"Camarillo, CA",CA,Camarillo,1884707.785341306,1755128.1084335428,20941438.011511475,10165357.808780437,11563392.908859761,23948444.154898092,9159566.01512705,0.0
"El Centro-Calexico, CA",CA,El Centro-Calexico,433340.39005183574,403546.8548572899,4814948.495854678,2337264.2444280386,2658706.687806507,5506332.712123223,2106008.1252765143,0.0
"Bakersfield, CA",CA,Bakersfield,9212405.22038402,8579022.952169655,102361233.05696441,49688018.520983376,56521579.64617315,117059405.00092183,44771733.013734885,0.0
