Area Name,State,UA,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
"Fairbanks, AK",AK,Fairbanks,19950076.494179383,3915144.6635337425,23009014.305593003,18443211.141644266,22949333.589139145,44853256.2700314,27569712.081033543,7421933.1436148975
"Anchorage, AK",AK,Anchorage,55239454.92640803,10840582.853641588,63709300.01224355,51067119.00850741,63544051.00943945,124193480.09787886,76337344.78555156,20550474.65472854
"Huntsville, AL",AL,Huntsville,51978602.3345779,48401839.62586804,149835410.1150191,120102777.4056767,149446860.8976856,292085906.11641157,179534887.85913768,48331877.05117906
"Anniston-Oxford, AL",AL,Anniston-Oxford,17843553.699269682,16615699.263100028,51436477.057038404,41229664.935488075,51303093.346955694,100269155.31587765,61631907.525835514,16591682.05404992
"Florence, AL",AL,Florence,13307187.844258552,12391490.786212066,38359783.80656989,30747849.07195004,38260310.23110676,74777732.4663826,45963230.445504434,12373579.471139345
"Daphne-Fairhope, AL",AL,Daphne-Fairhope,13655289.312495887,12715638.621713683,39363233.76313566,31552179.147722125,39261158.067820095,76733836.09756695,47165578.243571654,12697258.76624401
"Decatur, AL",AL,Decatur,7979535.402874619,7430445.904890066,23002099.054550152,18437670.911644176,22942450.620459624,44839794.1432556,27561437.387286134,7419705.546039832
"Montgomery, AL",AL,Montgomery,56728012.73249097,52824432.57897433,163526233.3155968,131076858.16600715,163102181.41812143,318774500.6011907,195939424.05073723,52748077.354911014
"Dothan, AL",AL,Dothan,16525817.01330574,15388638.956002846,47637921.34570742,38184876.719465986,47514387.949696004,92864333.01101601,57080424.84802932,15366395.404711341
"Mobile, AL",AL,Mobile,69686766.35115333,64891465.67009652,200881607.9471323,161019608.28650922,200360687.08146614,391594259.55666316,240699157.349165,64797668.11924485
"Pensacola, FL-AL",AL,Pensacola,1397209.0253693534,1301063.9788741446,4027645.5681717256,3228418.5612183334,4017201.1843507807,7851405.114399366,4825981.354227171,1299183.3523008423
"Tuscaloosa, AL",AL,Tuscaloosa,25175703.26361027,23443307.382335797,72572398.14098789,58171473.43897135,72384205.32010496,141471062.50638318,86957264.3202912,23409421.18800163
"Gadsden, AL",AL,Gadsden,15534518.918331778,14465554.277705524,44780369.392875224,35894363.91042633,44664246.12490972,87293883.07013087,53656466.05878474,14444645.001748364
"Birmingham, AL",AL,Birmingham,166678308.60726094,155208805.1615961,480472956.288648,385130166.9898029,479227006.54304004,936623583.7995245,575709428.5016685,154984458.1593449
"Auburn, AL",AL,Auburn,15383755.131588142,14325164.880922927,44345772.216294385,35546006.14960093,44230775.934217505,86446688.73856528,53135725.632329844,14304458.531212658
"Columbus, GA-AL",AL,Columbus,9641599.093121096,8978139.312755566,27793224.31533263,22278067.85303976,27721151.662101943,54179510.04911946,33302230.806901447,8965161.83613294
"Memphis, TN-MS-AR",AR,Memphis,6075123.631056324,9614640.538608998,17805566.441637326,14272313.594085773,17759392.754526846,34709784.943230726,21334878.59874381,5743478.282312214
"Fort Smith, AR-OK",AR,Fort Smith,17903906.670016833,28335164.40538425,52474520.54279072,42061723.52566484,52338442.754939534,102292691.9516705,62875704.0096041,16926519.58589139
"Fayetteville-Springdale-Rogers, AR-MO",AR,Fayetteville-Springdale-Rogers,39903394.626026474,63152096.796554826,116952771.2371918,93745213.45702747,116649487.39146243,227985195.04917818,140134445.27646816,37725039.74298003
"Texarkana-Texarkana, TX-AR",AR,Texarkana-Texarkana,4364312.385314224,6907068.453469379,12791353.537485344,10253097.511848746,12758182.789568095,24935187.08737709,15326778.607710896,4126061.4473980684
"Jonesboro, AR",AR,Jonesboro,9873242.26726235,15625636.79610627,28937463.96952821,23195249.74082692,28862422.863058534,56410064.48612876,34673273.81968063,9334254.902754683
"Conway, AR",AR,Conway,12052543.408818584,19074652.548531402,35324772.8753008,28315091.11314669,35233168.094552085,68861345.8992778,42326636.63315832,11394586.43463662
"Pine Bluff, AR",AR,Pine Bluff,8379806.394993502,13262088.339919167,24560356.06771191,19686714.541194797,24496665.74928763,47877425.3003243,29428561.94797756,7922346.764037397
"Little Rock, AR",AR,Little Rock,81975530.71716082,129736497.34106858,240261902.04776037,192585460.39391428,239638850.94033927,468361339.554355,287885169.4437238,77500427.80169158
"Hot Springs, AR",AR,Hot Springs,8429343.311578011,13340486.686236983,24705543.70719472,19803091.828459196,24641476.885801002,48160450.93499769,29602527.807056352,7969179.424877645
"Avondale-Goodyear, AZ",AZ,Avondale-Goodyear,20407615.824520938,20491601.53250096,57276498.46532356,45910819.66671539,57127968.77281326,111653564.38513513,68629501.59933084,18475476.677185167
"Sierra Vista, AZ",AZ,Sierra Vista,8620400.543665752,8655877.027001997,24194220.56722965,19393233.301636014,24131479.997577813,47163689.05628554,28989853.493200447,7804243.796138279
"Flagstaff, AZ",AZ,Flagstaff,9114104.180445513,9151612.456707686,25579860.90059792,20503913.68840429,25513527.081739873,49864826.28222891,30650147.121879023,8251204.8770013405
"Tucson, AZ",AZ,Tucson,118344007.40848154,118831041.53009862,332147097.28941363,266237390.4666921,331285771.832194,647480350.6885393,397983297.78203094,107139509.46356349
"Lake Havasu City, AZ",AZ,Lake Havasu City,8731863.491258511,8767798.690333411,24507055.11888101,19643990.437131625,24443503.305158593,47773521.94919268,29364696.228670403,7905153.726349035
"Phoenix-Mesa, AZ",AZ,Phoenix-Mesa,502197821.23253506,504264571.21082306,1409480312.862042,1129789672.9279265,1405825241.7058423,2747610365.130818,1688859025.5627174,454651058.3743171
"Prescott Valley-Prescott, AZ",AZ,Prescott Valley-Prescott,13850170.133138884,13907169.262987152,38872215.901968144,31158596.32029278,38771412.28390813,75776654.95091216,46577232.807427794,12538872.618446153
"Casa Grande, AZ",AZ,Casa Grande,8389302.878128858,8423828.29980168,23545616.37949503,18873335.076429583,23484557.773356088,45899314.11409978,28212686.883296467,7595025.846991639
"Yuma, AZ-CA",AZ,Yuma,11550469.41482695,11598004.333146032,32417821.336933788,25984981.43682495,32333755.28603957,63194598.11357895,38843486.96065756,10456901.48810832
"Lodi, CA",CA,Lodi,8789142.129749749,6879505.98315033,23884449.12492367,19144928.694566023,23822497.708102882,46559809.26607182,28618669.919648577,7704318.934434511
"Santa Barbara, CA",CA,Santa Barbara,29629121.05914386,23191537.079816155,80516986.08422384,64539565.02079285,80308141.35265948,156958006.23881468,96476541.51942697,25972068.151446983
"Porterville, CA",CA,Porterville,4827047.109741362,3778264.019648949,13117476.019188015,10514504.300539812,13083451.946861664,25570913.455497872,15717537.147645948,4231256.008377536
"Salinas, CA",CA,Salinas,19218417.883969802,15042790.168557445,52225953.04921637,41862474.696543604,52090489.5193986,101808101.16206132,62577843.17055559,16846333.6475319
"Seaside-Monterey, CA",CA,Seaside-Monterey,19009595.158762142,14879338.813888688,51658478.353424616,41407607.07409689,51524486.73787334,100701878.72162768,61897887.31636467,16663285.421435755
"Stockton, CA",CA,Stockton,49903619.95962622,39060951.23107128,135612833.93526772,108702445.77043478,135261081.74883753,264360615.94021446,162493131.44976908,43744133.213001
"Santa Cruz, CA",CA,Santa Cruz,24087653.35468747,18854076.1916592,65458075.72521424,52468875.697661065,65288290.75289483,127602504.23819649,78432751.4927039,21114570.806456804
"Chico, CA",CA,Chico,10135656.005696176,7933459.842266288,27543593.748059027,22077969.45789386,27472151.25222822,53692863.6999031,33003106.48798003,8884635.761354255
"Woodland, CA",CA,Woodland,8925574.024880843,6986295.0218290845,24255202.107429866,19442111.157358177,24192289.032568034,47282546.8121642,29062911.156805597,7823911.360794467
"Delano, CA",CA,Delano,8742120.059820604,6842700.501268008,23756666.88856982,19042502.97854338,23695046.912953522,46310713.441373944,28465559.516110346,7663100.688291331
"Redding, CA",CA,Redding,20116897.053061843,15746054.802153787,54667565.6306474,43819584.88680854,54525769.052997716,106567725.94965765,65503416.382404126,17633915.640454784
"Merced, CA",CA,Merced,14888123.019415235,11653347.94658299,40458398.734866396,32430019.835251804,40353457.854261786,78868694.79189132,48477800.464002505,13050516.920009919
"Camarillo, CA",CA,Camarillo,11454761.326118452,8965960.262703666,31128255.76068017,24951307.597986743,31047515.378624562,60680723.40384789,37298296.98520007,10040927.006462611
"El Centro-Calexico, CA",CA,El Centro-Calexico,2633729.631520542,2061493.4302537867,7157146.905149369,5736915.531898684,7138582.717679545,13951981.603179462,8575790.20447928,2308654.5613619154
"Bakersfield, CA",CA,Bakersfield,55990591.14613712,43825392.865838386,152154147.23784772,121961376.80275694,151759490.23959577,296605880.98067087,182313156.72931555,49079803.82490957
"Modesto, CA",CA,Modesto,39524865.47679172,30937211.44984404,107408621.3095251,86094947.61203013,107130025.13030867,209379956.62142816,128698462.48931037,34646404.04927593
"Manteca, CA",CA,Manteca,5359483.6918518,4195016.940264327,14564369.728486478,11674283.064883566,14526592.707335088,28391455.59071159,17451224.755790062,4697975.192159337
"San Diego, CA",CA,San Diego,453700993.5890309,355124385.7340897,1232930147.1443005,988273149.1523927,1229732176.403709,2403446367.5164185,1477313574.64244,397701744.25194407
"Santa Clarita, CA",CA,Santa Clarita,17566530.77547426,13749812.187473467,47736958.21666809,38264255.38949954,47613138.22899455,93057355.34805262,57199068.85963173,15398335.089805445
