Area Name,State,UA,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
"Fairbanks, AK",AK,Fairbanks,29667292.732674353,5548054.064422941,22137497.742499422,24486700.323530722,38417650.28783461,48263096.87400135,37779083.50107661,21700799.18469748
"Anchorage, AK",AK,Anchorage,82145303.0605298,15361920.166590929,61296171.42505885,67800841.72673619,106374031.30120873,133634934.44038169,104605913.70803002,60087003.615242876
"Huntsville, AL",AL,Huntsville,77296165.34277971,68589042.33169986,144160072.74771398,159458256.2654164,250177210.9992669,314290902.26043856,246018656.2649271,141316330.6394704
"Anniston-Oxford, AL",AL,Anniston-Oxford,26534731.891473014,23545693.90206568,49488210.22171386,54739870.45956167,85882465.0586902,107891831.24967138,84454889.26055872,48511991.87923713
"Florence, AL",AL,Florence,19788808.19527119,17559673.19957264,36906824.76122771,40823355.652836174,64048569.826689735,80462495.84011874,62983926.55955677,36178790.36408403
"Daphne-Fairhope, AL",AL,Daphne-Fairhope,20306461.757245444,18019015.030023795,37872266.899545796,41891249.952326246,65724010.307135925,82567306.65873738,64631517.13747093,37125187.91946401
"Decatur, AL",AL,Decatur,11866180.700454371,10529499.966392457,22130845.24218009,24479357.735713854,38406148.34756877,48248611.32751621,37767744.59608157,21694285.969514158
"Montgomery, AL",AL,Montgomery,84358902.60213828,74856188.73814277,157332326.66990975,174028342.15316743,273036506.82243264,343008420.85697484,268497974.9011644,154228744.97900596
"Dothan, AL",AL,Dothan,24575156.447314575,21806857.279375475,45833532.95109164,50697360.95135588,79540091.96439542,99924078.4942692,78217941.85852775,44929407.79952704
"Mobile, AL",AL,Mobile,103629562.39973988,91956081.01295337,193272786.40680656,213782782.68437096,335408034.5806334,421364093.8464877,329832735.91705936,189460233.10680607
"Pensacola, FL-AL",AL,Pensacola,2077756.9036620508,1843705.3841969161,3875089.8580244444,4286312.151865757,6724879.8823006535,8448285.746568412,6613095.995348258,3798648.746470784
"Tuscaloosa, AL",AL,Tuscaloosa,37438200.233988285,33220927.44554944,69823562.98454306,77233199.09277909,121172693.08038437,152225995.66701862,119158507.71765918,68446203.75863428
"Gadsden, AL",AL,Gadsden,23101020.206407662,20498776.955055714,43084216.90434116,47656289.07631196,74768894.17279004,93930151.0186325,73526052.99792172,42234325.53375348
"Birmingham, AL",AL,Birmingham,247863419.22455096,219942535.0310815,462274013.0567958,511330263.8786433,802236160.8153515,1007827714.6088496,788901041.3962328,453155065.96263784
