Area Name,State,UA,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
"Fairbanks, AK",AK,Fairbanks,39871552.821108624,7245306.579498348,18585354.08418829,31883766.678694353,64877391.46594308,46196801.8384945,51748443.54903825,51092000.571024455
"Anchorage, AK",AK,Anchorage,110399719.2968218,20061416.122538496,51460696.380005635,88282463.119663,179637995.0057583,127913602.41883066,143285456.36268008,141467841.66299057
"Huntsville, AL",AL,Huntsville,103882688.8285458,89571700.98144023,121028450.11547534,207628151.1181741,422483707.3671133,300835119.8281359,336987596.4665215,332712817.8218542
"Anniston-Oxford, AL",AL,Anniston-Oxford,35661527.11466,30748757.846727017,41547435.90206624,71275946.20782343,145032963.19794825,103272642.47558692,115683300.50187041,114215826.60159837
"Florence, AL",AL,Florence,26595298.67905872,22931502.52131462,30984833.13997682,53155465.60680874,108161239.48244272,77017643.22046663,86273140.21450818,85178742.13794868
"Daphne-Fairhope, AL",AL,Daphne-Fairhope,27291002.581847254,23531365.526930932,31795362.4595707,54545954.40422605,110990619.11628123,79032340.46521853,88529951.12975149,87406924.79741435
"Decatur, AL",AL,Decatur,15947631.448753927,13750669.063327858,18579776.274765868,31874196.45908272,64857913.61556003,46182936.46383272,51732911.92066968,51076665.96555512
"Montgomery, AL",AL,Montgomery,113374700.93209651,97756083.57144713,132087111.82634161,226599636.60508046,461087063.79833084,328323151.0947768,367778966.8139525,363113591.3230469
"Dothan, AL",AL,Dothan,33027942.83271236,28477978.88949989,38479180.47388162,66012256.545562625,134322358.15250728,95646014.28592935,107140152.0016395,105781050.24666283
"Mobile, AL",AL,Mobile,139273630.67068556,120087149.66575071,162260640.84506392,278363284.2176084,566416218.9847027,403324171.1799244,451793138.78120893,446062020.8358605
"Pensacola, FL-AL",AL,Pensacola,2792415.0302580264,2407729.015554907,3253301.0745330174,5581141.347274755,11356558.708623635,8086588.051489893,9058383.451517502,8943475.411756454
"Tuscaloosa, AL",AL,Tuscaloosa,50315314.97016865,43383824.5632366,58619820.65137051,100564164.61675201,204628904.44648919,145708721.81816027,163219081.52798894,161148603.41118565
"Gadsden, AL",AL,Gadsden,31046767.754674423,26769732.56200271,36171013.90824639,62052523.47421968,126265056.1963146,89908705.70523074,100713369.68346831,99435793.39736858
"Birmingham, AL",AL,Birmingham,333117669.38369375,287227030.8955592,388098495.39155567,665795298.3204443,1354766511.5118043,964679439.0479362,1080608559.6361027,1066900748.3029456
"Auburn, AL",AL,Auburn,30745456.314168766,26509930.100633968,35819971.236385554,61450298.61839026,125039643.4168374,89036134.30442967,99735938.12803899,98470760.82511722
"Columbus, GA-AL",AL,Columbus,19269376.116602384,16614806.71205857,22449772.453749742,38513297.84979017,78367219.33362615,55802416.53755282,62508400.73710991,61715464.79707791
"Memphis, TN-MS-AR",AR,Memphis,12141538.044783868,17792706.104254268,14382314.867596688,24673318.13595491,50205499.15926413,35749490.45451028,40045639.85099439,39537650.09753748
"Fort Smith, AR-OK",AR,Fort Smith,35782146.53492928,52436620.03339628,42385906.64589872,72714369.61176056,147959881.28932613,105356792.62990057,118017910.7414552,116520821.67997117
"Fayetteville-Springdale-Rogers, AR-MO",AR,Fayetteville-Springdale-Rogers,79749584.27038352,116868300.34428738,94467737.72037455,162062405.65697166,329766103.0480819,234814320.1552674,263032831.44019136,259696188.95697582
"Texarkana-Texarkana, TX-AR",AR,Texarkana-Texarkana,8722368.149798533,12782114.790567786,10332121.404947784,17725082.560800932,36067164.2419828,25682101.868956245,28768415.688873637,28403480.568657942
"Jonesboro, AR",AR,Jonesboro,19732330.38427734,28916563.452216495,23374022.929495644,40098879.016749054,81593575.11907323,58099785.55567118,65081853.145374745,64256272.26673591
"Conway, AR",AR,Conway,24087808.44993855,35299259.028344825,28533324.552419942,48949824.88142065,99603562.77938369,70924035.74200383,79447241.23319665,78439431.5281438
"Pine Bluff, AR",AR,Pine Bluff,16747599.609762326,24542616.982223436,19838446.329912964,34033485.0215112,69251654.52896146,49311557.57835589,55237511.085288115,54536808.34356148
"Little Rock, AR",AR,Little Rock,163833542.3917448,240088369.2859267,194069777.9688725,332932870.43716806,677454927.4127344,482390751.34130144,540361444.3189124,533506813.5052067
"Hot Springs, AR",AR,Hot Springs,16846602.427459307,24687699.75775633,19955720.574052818,34234672.71357983,69661033.13176426,49603061.033121936,55564045.595751576,54859200.67559846
"Avondale-Goodyear, AZ",AZ,Avondale-Goodyear,40785975.55942596,37921443.054388456,46264669.23539859,79368510.01644254,161499788.39760622,114998062.95909916,128817808.42952019,127183719.74999195
"Sierra Vista, AZ",AZ,Sierra Vista,17228442.994499926,16018433.075844804,19542703.236805387,33526128.32281906,68219280.2763284,48576441.90175252,54414053.82030873,53723796.85631407
"Flagstaff, AZ",AZ,Flagstaff,18215142.501019657,16935833.447787944,20661943.99732991,35446221.408549644,72126303.6913447,51358489.66243786,57530430.620544076,56800641.575445935
"Tucson, AZ",AZ,Tucson,236518358.4045717,219906900.2649753,268289368.33308333,460258935.5930562,936539197.8630689,666875137.7826436,747016006.4856747,737539906.7560904
"Lake Havasu City, AZ",AZ,Lake Havasu City,17451209.097869895,16225553.586940194,19795393.038824562,33959625.70676375,69101364.81796184,49204541.88046131,55117634.91245871,54418452.83234984
"Phoenix-Mesa, AZ",AZ,Phoenix-Mesa,1003675698.2741742,933184270.2088196,1138497328.1466835,1953128339.3152442,3974243858.7726207,2829912967.816131,3169994147.553674,3129781915.9232755
"Prescott Valley-Prescott, AZ",AZ,Prescott Valley-Prescott,27680484.844552122,25736393.830304146,31398745.721866257,53865545.901772276,109606117.8829685,78046487.67697631,87425624.74070041,86316607.08676612
"Casa Grande, AZ",AZ,Casa Grande,16766578.961999727,15589007.265450558,19018797.987457715,32627352.22179591,66390442.2383963,47274193.558799095,52955309.444502175,52283557.046761915
"Yuma, AZ-CA",AZ,Yuma,23084380.228629075,21463088.67886079,26185256.11151841,44921638.82974439,91406971.90831034,65087544.786952086,72909357.42539823,71984482.54161455
"Lodi, CA",CA,Lodi,17565684.260949634,12731108.106342321,19292479.816685785,33096863.387281235,67345812.17803012,47954473.3464524,53717340.987551466,53035922.01394627
"Santa Barbara, CA",CA,Santa Barbara,59215766.20006183,42917902.30847076,65036975.34766663,111573001.94980726,227029804.77413598,161659565.3061741,181086797.27776685,178789662.36256203
"Porterville, CA",CA,Porterville,9647174.228238413,6991997.362349434,10595540.220434258,18176986.604223844,36986705.09910174,26336870.942460578,29501870.800254587,29127631.60392502
"Salinas, CA",CA,Salinas,38409284.49684921,27837956.435533106,42185111.3182166,72369901.61672829,147258963.6241981,104857686.28753017,117458824.9312857,115968828.02425157
"Seaside-Monterey, CA",CA,Seaside-Monterey,37991938.41194602,27535475.8691214,41726738.00352215,71583547.60102023,145658882.99940795,103718327.78561124,116182545.47530095,114708738.51774947
